	SCOC CPN 01	SCOC CPN 03	SCOC CPN 04	SCOC CPN 05	SCOC CPN 06	SCOC CPN 07	SCOC CPN 09	SCOC CPN 10	SCOC CPN 11	SCOC CPN 12	SCOC CPN 13	SCOC CPN 14	SCOC CPN 15	SCOC CPN 16	SCOC CPN 17	SCOC CPN 18	SCOC CPN 19	SCOC CPN 20	SCOC CPN 21	SCOC CPN 22	SCOC CPN 23	SCOC CPN 24	SCOC CPN 25	SCOC CPN 26	SCOC CPN 27	SCOC CPN 28	SCOC CPN 29	SCOC CPN 30	SCOC CPN 31	SCOC CPN 32	SCOC CPN 33	SCOC CPN 34	SCOC CPN 35	SCOC CPN 36	SCOC CPN 39	SCOC CPN 40	SCOC CPN 43	SCOC CPN 44	SCOC CPN 45	SCOC CPN 46	SCOC CPN 47	SCOC CPN 48	SCOC CPN 49	SCOC CPN 50	SCOC CPN 51	SCOC CPN 52	SCOC CPN 53	SCOC CPN 60	SCOC CPN 61	SCOC CPN 63	SCOC CPN 64	SCOC CPN 65	SCOC CPN 66	SCOC CPN 67	SCOC CPN 68	SCOC CPN 69	SCOC CPN 71	SCOC CPN 72	SCOC CPN 74	SCOC CPN 75	SCOC CPN 76	SCOC CPN 77	SCOC CPN 78	SCOC CPN 80	SCOC CPN 81	SCOC CPN 83
SCOC CPN 51	0.125825	0.125825	-0.030632	0.157116	0.031951	0.094534	0.188407	0.125825	0.25099	0.094534	0.063242	0.031951	0.031951	0.157116	0.063242	0.00066	0.219699	0.094534	0.188407	0.125825	0.063242	0.094534	0.125825	0.157116	0.157116	0.094534	0.00066	0.094534	0.282281	0.094534	-0.022752	0.157116	0.031951	0.079515	0.125825	0.282281	0.125825	0.031951	0.063242	0.125825	0.125825	0.125825	-0.030632	0.157116																						
SCOC CPN 52	0.113382	0.151719	-0.001627	0.075046	0.075046	-0.001627	0.190055	0.190055	0.190055	0.228392	0.190055	0.151719	0.075046	-0.001627	0.266728	0.075046	0.113382	-0.001627	0.190055	0.075046	0.190055	0.228392	-0.001627	0.113382	0.228392	0.190055	0.075046	0.190055	0.151719	0.03671	0.075046	0.190055	0.075046	0.075046	0.151719	0.190055	0.190055	0.113382	0.075046	0.151719	0.113382	0.151719	0.113382	0.113382	0.151719																					
SCOC CPN 53	0.09666	0.039835	-0.045402	-0.01699	0.011423	0.068248	-0.01699	-0.01699	0.068248	0.09666	0.039835	-0.045402	0.011423	0.011423	0.125072	0.011423	0.181897	-0.01699	0.125072	0.068248	0.011423	0.039835	0.068248	0.09666	-0.045402	0.011423	0.011423	0.153485	0.09666	-0.01699	-0.008795	-0.01699	-0.102227	0.021905	0.039835	0.181897	0.039835	-0.045402	0.039835	0.09666	-0.01699	0.09666	-0.045402	0.09666	0.063242	0.03671																				
SCOC CPN 60	0.114006	0.021905	-0.039496	0.052605	0.052605	0.052605	0.144706	-0.008795	-0.070196	0.144706	-0.070196	-0.008795	0.052605	0.021905	0.144706	-0.100896	0.144706	0.021905	0.083306	0.052605	0.083306	0.052605	0.144706	0.114006	0.052605	0.021905	0.052605	0.206107	0.021905	-0.070196	0.083306	0.052605	-0.008795	0.021905	0.052605	0.175407	-0.039496	0.052605	0.083306	0.083306	0.083306	0.052605	0.021905	0.052605	0.011337	0.113382	-0.039496																			
SCOC CPN 61	0.125072	-0.01699	0.011423	0.125072	0.125072	-0.01699	-0.073814	0.125072	0.125072	0.181897	0.153485	0.039835	0.153485	0.238722	0.238722	0.09666	0.323959	-0.073814	0.125072	0.068248	-0.045402	0.011423	0.039835	0.09666	-0.045402	0.125072	0.153485	0.09666	0.09666	0.125072	0.144706	-0.073814	-0.073814	0.083306	0.238722	0.153485	0.09666	0.011423	-0.102227	0.09666	0.181897	0.153485	0.068248	0.153485	0.188407	0.113382	-0.073814	0.083306																		
SCOC CPN 63	0.039835	-0.5	0.181897	0.09666	-0.01699	0.068248	-0.01699	0.125072	0.125072	-0.01699	0.153485	0.011423	0.09666	0.153485	0.09666	0.039835	0.181897	-0.073814	0.267134	0.09666	0.068248	0.09666	0.153485	0.125072	-0.045402	-0.045402	0.068248	0.181897	0.238722	0.068248	0.052605	-0.01699	-0.073814	-0.008795	0.011423	0.011423	0.068248	-0.01699	-0.130639	0.011423	0.09666	0.125072	0.039835	0.068248	0.125825	0.151719	0.039835	0.021905	-0.01699																	
SCOC CPN 64	0.153485	0.011423	0.09666	0.181897	0.039835	0.068248	0.181897	0.21031	0.21031	0.181897	0.153485	0.09666	0.068248	0.125072	0.125072	-0.01699	0.295547	0.011423	0.09666	0.039835	0.039835	0.125072	0.181897	0.153485	0.068248	0.125072	0.125072	0.068248	0.323959	0.039835	0.021905	0.068248	-0.01699	0.083306	0.153485	0.295547	0.153485	0.125072	0.09666	0.039835	0.039835	0.09666	0.125072	0.181897	0.031951	0.113382	0.011423	0.021905	0.011423	0.011423																
SCOC CPN 65	0.068248	0.153485	0.153485	0.011423	0.011423	0.068248	0.238722	0.153485	0.181897	0.267134	0.068248	0.153485	-0.01699	0.153485	0.267134	0.181897	0.125072	-0.01699	0.21031	0.125072	0.153485	0.21031	0.238722	0.153485	0.21031	0.09666	0.21031	0.125072	0.295547	0.09666	0.083306	0.039835	0.068248	0.021905	0.09666	0.125072	0.125072	0.125072	0.09666	0.09666	0.011423	0.153485	0.125072	0.153485	0.25099	0.075046	0.039835	0.083306	0.068248	0.153485	0.068248															
SCOC CPN 66	0.181897	0.153485	0.068248	0.153485	0.011423	0.039835	0.011423	-0.102227	0.125072	0.125072	-0.045402	-0.073814	0.181897	0.21031	0.238722	0.153485	0.267134	-0.045402	0.068248	-0.01699	0.011423	0.153485	0.09666	0.125072	0.09666	0.125072	0.09666	0.039835	-0.045402	0.153485	0.144706	0.068248	0.125072	0.052605	0.21031	0.267134	0.181897	0.039835	0.125072	0.011423	0.295547	0.09666	0.09666	0.09666	0.188407	0.190055	0.068248	0.083306	0.011423	0.153485	0.153485	0.181897														
SCOC CPN 67	0.024259	0.116776	0.055098	0.055098	-0.099096	0.085937	0.116776	0.055098	0.116776	0.116776	0.024259	-0.068257	0.147615	0.085937	0.27097	0.024259	0.147615	-0.037418	0.116776	0.178454	0.116776	0.178454	0.024259	0.055098	0.147615	0.024259	0.055098	0.147615	0.147615	0.116776	0.003292	0.024259	0.024259	-0.063813	-0.006579	0.147615	-0.099096	0.055098	0.055098	0.085937	0.024259	0.147615	-0.037418	-0.037418	0.082419	0.014676	0.085937	-0.03026	0.178454	0.116776	0.209292	-0.037418	0.024259													
