	030912SERN	043011TKLE	043011TKLF	043011TKLG	043011TKLH	043011TKLI	043011TKLJ	043011TKLL	061912TKLA	062012TKLA	062112TKLB	062112TKLC	062112TKLD	062112TKLE	062112TKLF	062112TKLG	062911TKLC	062911TKLD	062911TKLE	062911TKLG	062911TKLH	062911TKLI	062911TKLJ	062911TKLK	062911TKLL	063011TKLA	063011TKLB	063011TKLC	063011TKLD	070111TKLA	070111TKLC	070111TKLE	070312SERC	070312SERD	070312SERE	070312SERF	070312SERG	070312SERH	071712TKLA	071712TKLB	071712TKLC	071812TKLA	071812TKLC	071812TKLD	071911TKLB	071911TKLC	071911TKLE	071911TKLG	071912TKLA	071912TKLB	072011TKLB	072011TKLD	072011TKLE	072111TKLB	072211TKLB	072211TKLC	072211TKLD	072211TKLE	080311TKLF	080311TKLG	080411TKLD	CNHY RAJ 30	CNHY RAJ 31	CNHY RAJ 32	CNHY RAJ 33	CNHY RAJ 34	CNHY RAJ 35	CNHY RAJ 36	CNHY RAJ 37	CNHY RAJ 38	CNHY RAJ 39	CNHY RAJ 40	CNHY RAJ 41	CNHY RAJ 43	CNHY RAJ 44	CNHY RAJ 45	CNHY RAJ 46	CNHY RAJ 47	CNHY RAJ 48	CNHY RAJ 49	CNHY RAJ 50	CNHY RAJ 51	CNHY RAJ 52	CNHY RAJ 53	CNHY RAJ 54	CNHY RAJ 55	CNHY RAJ 56	CNHY RAJ 57	CNHY RAJ 58	CNHY RAJ 59	CNHY RAJ 60	CNHY RAJ 61	CNHY RAJ 62	CNHY RAJ 63	CNHY RAJ 64	CNHY RAJ 65	CNHY RAJ 66	CNHY RAJ 67	CNHY RAJ 68	CNHY RAJ 69	CNHY RAJ 70	CNHY RAJ 71	CNHY RAJ 72	CNHY RAJ 73	CNHY RAJ 74	CNHY RAJ 75	CNHY RAJ 76	CNHY RAJ 77
063011TKLC	-0.013403	-0.230228	0.093498	-0.014411	-0.068365	-0.068365	-0.068365	-0.122319	-0.014411	0.147453	0.039544	0.093498	-0.014411	0.039544	-0.122319	-0.018059	0.039544	0.039544	0.039544	0.039544	-0.014411	-0.014411	0.417225	0.093498	-0.068365	0.039544	0.039544																																																																																	
063011TKLD	-0.051386	-0.112277	-0.189822	0.081585	-0.112277	-0.151049	-0.073505	-0.228594	0.042812	-0.073505	-0.034732	0.042812	-0.034732	0.042812	-0.151049	-0.018059	0.093498	0.00404	0.042812	0.093498	-0.034732	0.042812	0.197902	0.042812	-0.151049	0.042812	-0.073505	-0.122319																																																																																
070111TKLA	0.048306	-0.151049	0.197902	0.00404	0.120357	0.120357	0.081585	0.120357	0.159129	0.120357	0.120357	0.00404	-0.034732	0.120357	0.042812	-0.018059	0.039544	0.120357	0.042812	-0.014411	0.081585	0.081585	0.391764	0.081585	-0.034732	0.00404	-0.034732	0.039544	0.081585																																																																															
070111TKLC	-0.00154	-0.093776	0.267313	-0.003503	0.131905	0.222177	0.177041	0.086769	0.222177	0.131905	0.131905	0.177041	0.131905	0.177041	0.086769	0.062265	0.201407	0.222177	0.177041	-0.014411	0.086769	0.222177	0.447858	0.131905	-0.048639	0.131905	0.086769	0.039544	0.041633	-0.138912																																																																														
070111TKLE	0.048306	0.041633	-0.003503	0.222177	-0.003503	-0.048639	-0.138912	0.222177	0.041633	0.402722	-0.003503	0.086769	-0.048639	-0.048639	-0.003503	0.142589	0.039544	-0.048639	0.086769	0.417225	0.041633	-0.003503	0.357586	0.177041	-0.048639	0.086769	0.131905	-0.068365	0.041633	0.177041	0.267313																																																																													
070312SERC	0.048306	-0.073505	0.042812	-0.151049	0.081585	0.159129	0.042812	0.042812	-0.034732	0.042812	-0.034732	-0.112277	0.00404	0.081585	-0.034732	-0.018059	0.093498	-0.034732	-0.034732	0.039544	0.00404	0.042812	0.120357	0.00404	-0.073505	-0.189822	-0.073505	-0.014411	0.042812	0.00404	0.086769	0.177041																																																																												
070312SERD	0.048306	-0.034732	0.120357	0.081585	0.00404	0.081585	-0.034732	0.081585	0.042812	0.159129	0.00404	-0.073505	0.042812	0.00404	-0.073505	0.062265	-0.014411	0.081585	-0.151049	0.147453	0.042812	-0.034732	0.391764	0.081585	-0.034732	-0.034732	0.00404	-0.068365	0.081585	0.042812	0.131905	-0.138912	-0.034732																																																																											
070312SERE	-0.013403	0.093498	-0.068365	-0.014411	0.147453	0.147453	0.093498	-0.014411	-0.176274	0.255362	0.039544	-0.014411	-0.014411	-0.068365	-0.122319	0.062265	0.093498	-0.014411	-0.068365	0.201407	0.093498	-0.068365	0.309316	0.309316	-0.122319	-0.068365	-0.122319	0.039544	0.039544	0.147453	0.201407	-0.014411	-0.068365	-0.014411																																																																										
070312SERF	-0.013403	-0.003846	-0.003846	-0.003846	-0.003846	0.086364	0.041259	0.086364	0.041259	0.176574	-0.003846	-0.003846	-0.094056	-0.003846	-0.048951	-0.018059	-0.122319	0.041259	0.086364	0.039544	-0.048951	0.041259	0.311888	-0.048951	-0.048951	-0.003846	-0.184266	0.039544	-0.003846	-0.003846	0.147453	0.147453	0.041259	0.086364	-0.122319																																																																									
070312SERG	0.048306	0.00404	0.081585	-0.034732	0.042812	0.159129	0.042812	0.159129	0.120357	0.236674	0.042812	0.081585	0.00404	0.042812	0.042812	0.062265	-0.122319	0.042812	0.159129	0.093498	0.00404	0.081585	0.275446	-0.034732	0.042812	-0.034732	-0.151049	0.093498	0.042812	0.081585	0.177041	0.177041	0.042812	0.120357	-0.068365	-0.364686																																																																								
070312SERH	0.098153	0.131905	0.041633	0.041633	0.086769	0.086769	-0.003503	-0.003503	-0.093776	0.312449	-0.048639	-0.003503	-0.138912	-0.003503	-0.048639	-0.018059	0.093498	-0.093776	-0.048639	0.147453	-0.048639	-0.048639	0.357586	0.222177	-0.003503	-0.003503	-0.048639	0.039544	0.041633	0.131905	0.312449	-0.003503	-0.003503	-0.003503	-0.014411	-0.014411	0.086769																																																																							
071712TKLA	0.133791	-0.03726	0.32265	0.065572	0.116987	0.065572	0.014156	0.219819	0.271234	0.219819	0.168403	0.065572	0.065572	0.168403	0.116987	-0.018059	0.005424	0.219819	0.116987	0.068602	0.014156	0.168403	0.579728	0.014156	-0.03726	0.014156	-0.140091	0.13178	0.116987	-0.088675	0.065572	0.219819	0.116987	0.116987	0.194958	-0.18411	-0.140091	0.065572																																																																						
071712TKLB	0.048306	0.00404	-0.073505	0.159129	-0.034732	-0.073505	-0.073505	0.042812	-0.112277	0.236674	-0.073505	-0.034732	-0.112277	0.00404	-0.073505	-0.018059	0.093498	-0.112277	-0.112277	0.255362	0.00404	-0.112277	0.236674	0.120357	-0.151049	-0.034732	-0.034732	-0.014411	0.00404	0.081585	0.222177	-0.184048	0.00404	-0.034732	-0.230228	0.041259	0.081585	-0.048639	0.219819																																																																					
071712TKLC	0.048306	0.042812	-0.034732	-0.034732	0.042812	0.120357	0.120357	0.081585	-0.073505	0.159129	0.120357	0.081585	-0.112277	0.00404	0.081585	0.062265	0.255362	0.00404	0.042812	0.255362	0.081585	-0.073505	0.081585	0.236674	-0.112277	0.00404	-0.034732	-0.068365	0.042812	0.081585	0.131905	0.041633	-0.073505	0.042812	-0.068365	0.086364	0.120357	0.041633	0.219819	-0.073505																																																																				
071812TKLA	-0.051386	-0.112277	0.00404	-0.073505	-0.034732	0.00404	-0.073505	0.00404	-0.034732	0.159129	0.00404	0.042812	-0.112277	-0.034732	-0.112277	-0.018059	-0.068365	-0.034732	-0.034732	-0.014411	-0.034732	-0.112277	0.275446	0.081585	-0.073505	0.00404	-0.034732	-0.176274	-0.073505	-0.112277	-0.138912	-0.048639	-0.034732	-0.073505	-0.014411	-0.048951	0.042812	-0.138912	0.014156	-0.034732	-0.112277																																																																			
071812TKLC	0.048306	-0.034732	0.042812	-0.034732	0.081585	0.120357	-0.034732	0.042812	-0.034732	0.120357	0.042812	-0.034732	0.042812	0.042812	-0.034732	-0.098382	0.093498	-0.112277	0.081585	0.147453	-0.112277	-0.034732	0.120357	-0.034732	0.042812	-0.073505	0.00404	-0.014411	0.00404	0.042812	0.086769	0.131905	-0.151049	0.081585	0.093498	-0.003846	0.00404	-0.003503	0.168403	0.081585	0.042812	-0.112277																																																																		
071812TKLD	-0.00154	0.081585	0.00404	0.00404	0.120357	0.197902	0.197902	0.120357	0.00404	0.236674	0.081585	0.120357	0.042812	0.120357	0.081585	0.142589	0.147453	0.00404	0.159129	0.093498	0.120357	0.00404	0.042812	0.159129	0.00404	0.042812	-0.034732	0.093498	0.00404	0.159129	0.041633	0.267313	-0.034732	0.197902	0.093498	0.041259	0.120357	0.086769	0.271234	0.081585	-0.034732	-0.112277	-0.073505																																																																	
071911TKLB	-0.154296	0.065572	-0.03726	-0.03726	-0.191507	0.116987	0.065572	0.116987	-0.03726	0.168403	-0.088675	-0.088675	-0.088675	-0.03726	-0.03726	0.062265	0.068602	-0.03726	-0.03726	0.194958	0.014156	0.014156	0.168403	0.065572	-0.088675	-0.03726	-0.088675	0.005424	0.014156	0.168403	0.116987	-0.088675	-0.03726	0.014156	-0.057754	0.068602	0.116987	0.014156	0.271234	-0.088675	-0.191507	-0.03726	0.065572	-0.088675																																																																
071911TKLC	0.048306	0.042812	0.081585	0.042812	0.120357	0.197902	0.197902	0.120357	0.120357	0.081585	0.197902	0.159129	0.159129	0.159129	0.00404	-0.018059	0.093498	0.159129	0.120357	0.093498	0.081585	0.120357	0.314219	0.197902	-0.034732	0.159129	0.00404	0.039544	0.042812	-0.034732	0.041633	0.267313	0.081585	0.120357	-0.068365	-0.003846	0.159129	0.222177	0.168403	0.120357	0.042812	-0.034732	0.081585	-0.034732	0.116987																																																															
071911TKLE	0.175924	0.062265	-0.098382	-0.098382	0.062265	0.062265	-0.018059	0.062265	-0.178706	0.303236	0.062265	0.062265	-0.018059	0.062265	-0.018059	-0.098382	0.222912	-0.098382	-0.018059	0.303236	-0.098382	-0.018059	0.383559	0.303236	-0.018059	-0.018059	-0.018059	-0.178706	0.062265	0.303236	0.383559	-0.018059	-0.098382	0.062265	-0.018059	0.062265	0.142589	-0.178706	0.222912	-0.098382	-0.098382	-0.018059	-0.098382	0.062265	-0.018059	0.142589																																																														
071911TKLG	0.098153	0.00404	0.042812	0.042812	0.236674	0.042812	0.042812	-0.112277	-0.073505	0.197902	-0.073505	0.081585	0.00404	0.120357	0.042812	0.142589	0.36327	-0.034732	0.120357	0.201407	0.159129	0.00404	0.120357	0.275446	0.042812	0.00404	0.081585	-0.122319	-0.034732	0.159129	0.177041	0.177041	-0.073505	0.159129	0.039544	0.131469	0.159129	0.041633	0.271234	0.081585	-0.034732	0.00404	-0.034732	-0.034732	0.014156	0.159129	-0.178706																																																													
071912TKLA	0.048306	0.120357	0.00404	0.042812	0.081585	0.120357	0.081585	0.159129	-0.034732	0.236674	0.081585	0.081585	-0.112277	0.081585	0.042812	-0.018059	0.093498	0.00404	0.081585	0.255362	-0.073505	-0.034732	0.159129	0.159129	0.00404	0.00404	-0.034732	0.093498	0.081585	0.159129	0.177041	0.086769	0.00404	0.120357	-0.068365	-0.094056	-0.034732	-0.093776	0.065572	0.00404	-0.034732	-0.073505	0.00404	0.00404	0.014156	0.120357	-0.098382	0.042812																																																												
