	030912SERN	043011TKLE	043011TKLF	043011TKLG	043011TKLH	043011TKLI	043011TKLJ	043011TKLL	061912TKLA	062012TKLA	062112TKLB	062112TKLC	062112TKLD	062112TKLE	062112TKLF	062112TKLG	062911TKLC	062911TKLD	062911TKLE	062911TKLG	062911TKLH	062911TKLI	062911TKLJ	062911TKLK	062911TKLL	063011TKLA	063011TKLB	063011TKLC	063011TKLD	070111TKLA	070111TKLC	070111TKLE	070312SERC	070312SERD	070312SERE	070312SERF	070312SERG	070312SERH	071712TKLA	071712TKLB	071712TKLC	071812TKLA	071812TKLC	071812TKLD	071911TKLB	071911TKLC	071911TKLE	071911TKLG	071912TKLA	071912TKLB	072011TKLB	072011TKLD	072011TKLE	072111TKLB	072211TKLB	072211TKLC	072211TKLD	072211TKLE	080311TKLF	080311TKLG	080411TKLD	CNHY RAJ 30	CNHY RAJ 31	CNHY RAJ 32	CNHY RAJ 33	CNHY RAJ 34	CNHY RAJ 35	CNHY RAJ 36	CNHY RAJ 37	CNHY RAJ 38	CNHY RAJ 39	CNHY RAJ 40	CNHY RAJ 41	CNHY RAJ 43	CNHY RAJ 44	CNHY RAJ 45	CNHY RAJ 46	CNHY RAJ 47	CNHY RAJ 48	CNHY RAJ 49	CNHY RAJ 50	CNHY RAJ 51	CNHY RAJ 52	CNHY RAJ 53	CNHY RAJ 54	CNHY RAJ 55	CNHY RAJ 56	CNHY RAJ 57	CNHY RAJ 58	CNHY RAJ 59	CNHY RAJ 60	CNHY RAJ 61	CNHY RAJ 62	CNHY RAJ 63	CNHY RAJ 64	CNHY RAJ 65	CNHY RAJ 66	CNHY RAJ 67	CNHY RAJ 68	CNHY RAJ 69	CNHY RAJ 70	CNHY RAJ 71	CNHY RAJ 72	CNHY RAJ 73	CNHY RAJ 74	CNHY RAJ 75	CNHY RAJ 76	CNHY RAJ 77
080311TKLG	0.098153	0.00404	0.120357	0.081585	0.00404	0.081585	-0.034732	0.081585	0.00404	0.236674	0.042812	-0.034732	0.042812	0.042812	-0.034732	-0.018059	0.039544	-0.112277	-0.034732	0.201407	-0.034732	-0.034732	0.159129	-0.034732	0.00404	-0.073505	0.081585	0.039544	0.081585	0.00404	0.177041	0.041633	-0.034732	0.00404	0.093498	0.086364	0.081585	0.041633	0.168403	-0.073505	0.042812	-0.112277	-0.189822	0.081585	0.014156	0.159129	0.062265	0.081585	0.00404	0.069081	-0.014411	0.00404	0.042812	0.081585	0.197902	0.00404	-0.073505	0.00404	0.120357																																																	
080411TKLD	0.048306	0.00404	-0.034732	0.236674	-0.112277	-0.034732	-0.112277	0.120357	0.120357	0.197902	0.120357	0.081585	0.081585	-0.034732	-0.034732	0.062265	-0.068365	0.00404	0.081585	0.255362	-0.034732	0.081585	0.391764	0.00404	-0.034732	0.120357	0.042812	-0.122319	0.00404	0.081585	0.177041	-0.27432	0.159129	-0.073505	0.039544	0.131469	0.159129	0.086769	0.116987	-0.112277	0.042812	-0.034732	0.120357	0.197902	-0.03726	0.042812	0.062265	0.275446	0.159129	0.182898	0.039544	-0.034732	0.081585	0.042812	0.197902	0.042812	-0.189822	-0.073505	-0.034732	0.042812																																																
CNHY RAJ 30	-0.051386	0.00404	0.00404	0.081585	-0.112277	0.042812	-0.112277	-0.073505	0.00404	0.00404	-0.073505	0.042812	0.042812	0.081585	0.042812	-0.018059	0.039544	0.00404	0.081585	0.093498	0.00404	-0.034732	0.197902	0.00404	-0.034732	-0.034732	0.042812	-0.068365	-0.073505	0.081585	0.041633	0.086769	0.00404	0.00404	0.039544	0.041259	0.081585	0.041633	0.116987	0.081585	0.081585	0.00404	-0.034732	0.081585	0.014156	0.120357	0.062265	-0.034732	0.00404	0.069081	-0.014411	0.00404	0.00404	0.042812	0.081585	-0.112277	0.159129	0.00404	0.081585	-0.034732	0.081585																																															
CNHY RAJ 31	0.047421	-0.068365	0.039544	0.201407	-0.122319	-0.014411	-0.122319	0.147453	0.093498	0.309316	0.093498	0.093498	0.093498	-0.014411	-0.068365	0.062265	-0.068365	0.039544	0.039544	0.255362	-0.014411	0.093498	0.579088	0.093498	-0.122319	0.093498	0.093498	-0.068365	-0.014411	0.093498	0.201407	-0.284183	0.147453	-0.122319	0.039544	0.093498	0.147453	0.093498	0.194958	-0.122319	0.147453	-0.068365	0.093498	0.309316	0.005424	0.147453	0.062265	0.255362	0.147453	0.182898	0.147453	-0.068365	0.093498	0.093498	0.147453	0.039544	-0.284183	-0.122319	-0.014411	-0.014411	-0.284183	-0.014411																																														
CNHY RAJ 32	0.175924	0.303236	-0.098382	0.062265	0.142589	0.062265	-0.018059	0.062265	-0.098382	0.222912	-0.018059	-0.018059	0.062265	0.142589	0.142589	0.062265	0.303236	0.062265	-0.018059	0.463883	0.062265	-0.098382	0.222912	0.463883	0.142589	0.142589	0.062265	0.222912	0.062265	0.383559	0.463883	0.142589	0.062265	0.142589	0.062265	0.222912	0.303236	0.062265	0.463883	0.062265	0.062265	0.142589	0.062265	-0.018059	-0.018059	0.222912	-0.018059	-0.018059	0.142589	-0.044735	0.142589	0.222912	-0.018059	-0.178706	0.222912	-0.098382	0.222912	-0.018059	0.303236	0.142589	0.222912	0.062265	0.222912																																													
CNHY RAJ 33	-0.00154	0.120357	-0.228594	0.081585	0.042812	0.159129	0.00404	0.042812	-0.112277	0.275446	0.00404	0.081585	0.00404	0.081585	0.042812	0.142589	0.255362	-0.073505	0.042812	0.093498	0.159129	0.042812	0.197902	0.120357	-0.112277	-0.034732	-0.112277	0.147453	-0.034732	0.236674	0.267313	0.086769	0.042812	0.159129	-0.068365	0.041259	0.120357	0.086769	0.374066	-0.112277	0.042812	0.042812	0.120357	-0.112277	-0.088675	0.159129	-0.018059	0.081585	0.120357	-0.158551	-0.068365	0.081585	0.042812	0.120357	0.197902	-0.073505	0.081585	0.042812	0.120357	0.159129	0.042812	0.120357	0.147453	0.062265																																												
CNHY RAJ 34	0.048306	0.120357	0.00404	0.236674	-0.189822	0.081585	0.00404	0.159129	0.042812	0.236674	0.042812	0.159129	0.042812	0.081585	0.042812	0.062265	0.093498	0.042812	0.081585	0.471179	-0.112277	0.081585	0.352991	0.081585	-0.073505	0.159129	0.081585	-0.068365	0.00404	0.275446	0.312449	-0.093776	0.120357	0.081585	0.147453	0.086364	0.159129	-0.003503	0.271234	-0.073505	0.00404	0.00404	0.159129	0.159129	-0.140091	0.197902	-0.178706	0.236674	-0.034732	0.069081	0.147453	-0.112277	0.042812	0.00404	0.081585	-0.151049	0.00404	-0.112277	0.236674	0.120357	-0.073505	0.081585	-0.068365	0.142589	0.081585																																											
CNHY RAJ 35	-0.051386	0.042812	-0.112277	0.042812	-0.034732	0.042812	-0.112277	-0.034732	-0.112277	0.197902	-0.034732	0.00404	-0.034732	-0.073505	-0.073505	-0.018059	0.093498	-0.034732	-0.073505	0.255362	-0.034732	-0.034732	0.197902	0.159129	-0.073505	0.081585	0.00404	-0.068365	-0.112277	0.042812	0.177041	-0.138912	0.042812	0.00404	-0.122319	-0.094056	0.042812	-0.048639	0.271234	-0.112277	-0.034732	-0.112277	-0.034732	0.042812	-0.03726	-0.034732	-0.098382	-0.034732	-0.034732	-0.044735	-0.068365	-0.073505	-0.034732	0.00404	0.042812	-0.189822	-0.034732	-0.073505	0.081585	0.00404	-0.073505	-0.034732	-0.122319	-0.018059	-0.034732	-0.073505																																										
CNHY RAJ 36	-0.074228	-0.014411	-0.014411	0.039544	-0.176274	-0.068365	-0.068365	-0.014411	-0.068365	0.255362	-0.122319	-0.014411	-0.122319	-0.014411	-0.122319	0.062265	0.039544	-0.068365	-0.068365	0.093498	-0.014411	-0.068365	0.309316	0.039544	-0.122319	-0.014411	-0.014411	-0.230228	-0.014411	0.201407	0.255362	-0.176274	-0.014411	-0.176274	-0.068365	0.039544	0.093498	-0.068365	0.258136	-0.230228	-0.068365	-0.068365	0.093498	0.147453	-0.247288	0.201407	-0.25903	0.039544	0.039544	-0.158551	-0.176274	-0.230228	-0.122319	-0.068365	0.093498	-0.176274	-0.122319	-0.068365	0.255362	-0.014411	-0.122319	-0.014411	-0.068365	0.062265	-0.068365	-0.176274	-0.122319																																									
CNHY RAJ 37	-0.00154	0.086769	0.131905	0.267313	-0.138912	0.177041	0.041633	0.222177	-0.003503	0.357586	0.041633	0.086769	0.086769	-0.048639	-0.003503	0.142589	0.093498	0.086769	0.086769	0.471179	-0.003503	-0.048639	0.492994	0.131905	0.041633	0.222177	0.222177	-0.068365	0.086769	0.267313	0.267313	-0.184048	0.222177	-0.003503	0.093498	0.201407	0.222177	0.086769	0.374066	-0.093776	0.131905	0.041633	0.131905	0.267313	-0.140091	0.312449	-0.018059	0.267313	0.131905	0.069081	0.093498	-0.048639	0.177041	0.086769	0.177041	-0.048639	-0.003503	0.041633	0.177041	-0.003503	-0.184048	0.041633	-0.122319	0.062265	0.177041	-0.229184	-0.048639	-0.176274																																								
CNHY RAJ 38	0.147999	0.081585	0.197902	0.197902	0.159129	0.236674	0.120357	0.275446	0.236674	0.314219	0.197902	0.120357	0.120357	0.197902	0.159129	0.303236	0.093498	0.159129	0.236674	0.201407	0.159129	0.159129	0.352991	0.159129	0.081585	0.159129	0.081585	0.093498	0.197902	0.120357	0.222177	0.041633	0.120357	0.081585	0.201407	0.086364	0.120357	0.177041	0.271234	0.197902	0.120357	0.081585	0.042812	0.197902	0.116987	0.236674	0.383559	0.236674	0.197902	0.41053	-0.014411	0.120357	0.236674	0.275446	0.314219	0.159129	0.236674	0.159129	0.081585	0.120357	0.120357	0.159129	0.147453	0.463883	0.197902	0.236674	0.081585	0.093498	0.177041																																							
CNHY RAJ 39	-0.101232	0.042812	-0.073505	0.00404	0.00404	0.081585	-0.073505	0.042812	-0.151049	0.159129	0.00404	0.042812	-0.034732	-0.073505	-0.073505	0.062265	0.093498	-0.073505	0.00404	0.255362	-0.034732	-0.112277	0.120357	0.120357	-0.034732	0.00404	0.00404	-0.068365	-0.034732	0.120357	0.131905	-0.184048	0.00404	-0.073505	-0.122319	-0.003846	0.081585	-0.048639	0.271234	-0.112277	-0.073505	-0.073505	-0.073505	-0.034732	-0.140091	0.042812	-0.098382	-0.034732	-0.073505	-0.158551	-0.122319	-0.034732	-0.034732	-0.034732	0.042812	-0.112277	0.00404	0.00404	0.081585	-0.034732	-0.112277	-0.073505	-0.068365	-0.018059	-0.034732	-0.073505	-0.151049	-0.122319	-0.093776	0.042812																																						
CNHY RAJ 40	-0.051386	-0.112277	0.00404	0.00404	-0.073505	-0.073505	-0.151049	-0.073505	-0.073505	0.00404	-0.112277	-0.034732	-0.034732	0.042812	-0.034732	-0.018059	0.039544	0.00404	0.042812	0.093498	-0.073505	-0.112277	0.197902	0.042812	-0.151049	-0.034732	0.00404	-0.176274	-0.112277	0.042812	0.041633	0.041633	-0.112277	-0.034732	0.039544	-0.003846	0.042812	-0.003503	0.065572	0.00404	-0.112277	-0.112277	-0.034732	0.00404	-0.088675	0.081585	-0.018059	-0.073505	0.042812	0.069081	-0.068365	-0.112277	-0.034732	-0.034732	0.042812	-0.112277	0.081585	-0.073505	-0.034732	0.00404	0.00404	-0.151049	0.039544	-0.098382	0.042812	0.00404	-0.034732	-0.122319	-0.048639	0.042812	-0.034732																																					
CNHY RAJ 41	-0.00154	0.120357	0.00404	-0.034732	0.081585	0.236674	0.120357	0.081585	0.00404	0.197902	0.081585	0.042812	-0.073505	0.042812	0.120357	0.062265	0.201407	0.00404	0.120357	0.201407	0.197902	-0.034732	0.00404	0.197902	0.042812	-0.034732	-0.073505	-0.014411	0.120357	0.081585	0.177041	0.086769	0.00404	0.00404	-0.068365	-0.003846	0.00404	0.131905	0.219819	0.081585	-0.112277	0.00404	0.00404	-0.073505	-0.088675	0.042812	0.062265	-0.034732	-0.034732	-0.044735	-0.122319	-0.034732	0.00404	0.042812	0.159129	0.00404	0.236674	0.159129	0.159129	0.081585	0.120357	-0.034732	0.201407	-0.098382	0.042812	0.159129	-0.073505	-0.014411	0.177041	0.042812	-0.073505	0.00404																																				
CNHY RAJ 43	0.098153	0.042812	0.042812	-0.034732	0.081585	0.120357	-0.073505	0.042812	-0.034732	0.159129	0.081585	0.042812	-0.073505	-0.073505	-0.073505	-0.098382	0.147453	0.00404	0.042812	0.093498	-0.034732	-0.034732	0.236674	0.120357	-0.112277	-0.034732	-0.034732	-0.068365	-0.034732	-0.034732	0.086769	0.041633	-0.073505	0.00404	0.039544	-0.094056	0.00404	-0.093776	-0.140091	0.042812	-0.034732	-0.073505	0.00404	0.042812	0.065572	0.042812	-0.098382	0.081585	0.00404	-0.044735	0.039544	-0.112277	0.120357	0.081585	0.042812	-0.073505	0.120357	-0.112277	0.120357	0.00404	0.081585	0.042812	0.093498	0.062265	0.042812	0.00404	-0.034732	-0.014411	0.177041	0.081585	-0.073505	-0.073505	0.042812																																			
CNHY RAJ 44	-0.051386	-0.034732	-0.073505	0.120357	-0.073505	0.042812	-0.112277	-0.073505	-0.073505	0.236674	-0.151049	0.042812	-0.034732	-0.112277	0.00404	0.062265	0.093498	-0.073505	0.042812	0.309316	0.00404	-0.034732	0.197902	0.120357	-0.151049	0.00404	0.042812	-0.122319	-0.034732	0.081585	0.086769	-0.27432	0.042812	-0.073505	-0.122319	0.086364	0.120357	-0.003503	0.271234	-0.112277	-0.034732	-0.073505	0.042812	0.120357	-0.088675	0.120357	0.062265	-0.073505	0.042812	0.069081	0.039544	-0.073505	0.042812	0.042812	0.159129	-0.151049	-0.112277	0.042812	0.081585	0.00404	-0.073505	-0.073505	-0.176274	0.142589	0.00404	-0.034732	-0.189822	-0.122319	-0.138912	0.159129	-0.112277	-0.034732	-0.073505	0.081585																																		
CNHY RAJ 45	-0.151078	-0.184048	0.086769	-0.048639	-0.138912	0.131905	-0.048639	-0.003503	-0.048639	0.177041	-0.003503	0.041633	0.041633	-0.048639	-0.093776	0.062265	-0.014411	0.041633	-0.093776	0.147453	-0.093776	0.041633	0.357586	0.041633	-0.093776	0.086769	-0.003503	-0.176274	-0.048639	-0.003503	-0.003503	-0.093776	-0.003503	-0.138912	-0.068365	-0.014411	0.041633	0.041633	0.116987	-0.048639	-0.003503	-0.138912	-0.003503	0.131905	-0.03726	-0.003503	-0.018059	0.086769	0.041633	0.182898	0.093498	-0.138912	0.086769	-0.048639	0.041633	-0.093776	-0.184048	-0.048639	-0.003503	-0.048639	-0.138912	-0.048639	-0.230228	0.222912	0.131905	-0.093776	-0.184048	-0.176274	-0.138912	0.086769	-0.138912	-0.048639	0.041633	-0.003503	-0.184048																																	
CNHY RAJ 46	-0.00154	0.042812	0.00404	0.197902	-0.112277	0.081585	0.042812	0.159129	0.197902	0.275446	0.042812	0.120357	0.042812	0.120357	0.042812	0.142589	0.147453	0.120357	0.197902	0.471179	0.081585	0.081585	0.314219	0.120357	0.081585	0.197902	0.159129	-0.014411	-0.034732	0.314219	0.357586	-0.048639	0.081585	0.00404	0.147453	0.131469	0.197902	0.086769	0.271234	0.081585	0.120357	0.00404	0.197902	0.120357	-0.088675	0.275446	-0.018059	0.197902	0.120357	0.069081	0.093498	-0.073505	-0.034732	-0.034732	0.120357	-0.112277	0.081585	-0.073505	0.159129	0.159129	0.081585	0.120357	0.039544	-0.098382	0.159129	-0.073505	-0.034732	-0.176274	-0.048639	0.275446	0.081585	0.00404	0.042812	0.120357	0.00404	-0.093776																																
CNHY RAJ 47	0.098153	0.159129	0.236674	0.236674	0.120357	0.391764	0.352991	0.275446	0.314219	0.352991	0.236674	0.314219	0.275446	0.314219	0.236674	0.544207	0.36327	0.236674	0.314219	0.36327	0.236674	0.314219	0.469308	0.236674	0.081585	0.236674	0.120357	0.309316	0.159129	0.236674	0.312449	0.402722	0.197902	0.236674	0.36327	0.266783	0.275446	0.402722	0.425481	0.275446	0.197902	0.197902	0.314219	0.159129	0.219819	0.159129	0.544207	0.352991	0.352991	0.751979	0.36327	0.197902	0.314219	0.197902	0.352991	0.197902	0.314219	0.275446	0.314219	0.275446	0.275446	0.275446	0.417225	0.704854	0.236674	0.236674	0.236674	0.255362	0.357586	0.042812	0.236674	0.197902	0.275446	0.159129	0.236674	0.131905	0.236674																															
CNHY RAJ 48	0.197845	0.275446	0.352991	0.391764	0.275446	0.352991	0.275446	0.391764	0.391764	0.430536	0.352991	0.352991	0.275446	0.314219	0.236674	0.704854	0.417225	0.430536	0.391764	0.525134	0.391764	0.275446	0.624398	0.430536	0.275446	0.352991	0.352991	0.201407	0.314219	0.352991	0.447858	0.222177	0.352991	0.120357	0.471179	0.402098	0.430536	0.447858	0.528313	0.352991	0.236674	0.159129	0.391764	0.391764	0.425481	0.314219	0.704854	0.352991	0.391764	1.09343	0.471179	0.081585	0.352991	0.391764	0.430536	0.314219	0.352991	0.275446	0.352991	0.352991	0.236674	0.314219	0.36327	0.865501	0.469308	0.352991	0.275446	0.309316	0.402722	0.042812	0.236674	0.236674	0.236674	0.236674	0.236674	0.267313	0.275446	-0.073505																														
CNHY RAJ 49	-0.00154	-0.112277	0.042812	0.042812	0.042812	0.120357	0.081585	0.042812	0.042812	-0.034732	0.042812	0.042812	0.042812	0.081585	0.081585	-0.018059	0.201407	0.081585	0.120357	0.147453	0.00404	0.042812	0.236674	0.120357	-0.151049	0.081585	-0.034732	-0.014411	0.00404	-0.034732	-0.048639	0.041633	-0.034732	0.081585	0.039544	0.041259	0.081585	0.177041	0.116987	0.042812	-0.073505	0.00404	0.00404	0.00404	-0.140091	-0.034732	0.062265	0.00404	0.120357	-0.044735	0.039544	0.00404	0.120357	-0.034732	0.120357	-0.034732	0.159129	0.120357	-0.112277	0.120357	0.00404	0.042812	0.147453	-0.018059	0.081585	0.081585	0.00404	0.093498	0.041633	0.00404	-0.112277	-0.073505	0.00404	-0.034732	-0.034732	-0.048639	0.197902	0.159129	0.352991																													
CNHY RAJ 50	-0.040655	0.093843	-0.23607	-0.104105	-0.038123	-0.038123	-0.038123	-0.104105	-0.038123	0.225808	-0.170088	0.093843	-0.170088	-0.104105	0.02786	-0.018059	0.02786	-0.170088	0.093843	0.159825	0.02786	-0.104105	0.159825	0.02786	0.02786	0.02786	-0.104105	-0.038123	-0.104105	0.225808	0.225808	0.02786	-0.038123	0.02786	-0.104105	-0.170088	-0.104105	-0.038123	0.303236	-0.038123	-0.038123	-0.038123	-0.038123	0.02786	-0.098382	0.159825	-0.098382	-0.038123	-0.038123	-0.158551	-0.170088	-0.038123	-0.23607	-0.104105	0.225808	-0.170088	0.02786	-0.038123	0.159825	0.02786	0.093843	-0.104105	0.093843	-0.018059	-0.104105	0.02786	-0.170088	-0.170088	0.02786	0.159825	-0.104105	-0.104105	-0.104105	0.02786	-0.104105	-0.038123	-0.170088	0.357773	0.555721	0.093843																												
CNHY RAJ 51	-0.151078	-0.112277	0.120357	0.042812	-0.034732	0.159129	0.081585	0.159129	0.197902	0.159129	0.042812	0.081585	0.081585	0.159129	0.00404	0.142589	-0.068365	0.159129	0.120357	-0.068365	0.081585	0.159129	0.391764	-0.034732	0.00404	0.081585	0.00404	0.039544	0.00404	-0.073505	0.041633	0.177041	-0.034732	0.00404	0.201407	-0.048951	0.00404	0.222177	0.065572	0.120357	0.159129	-0.034732	0.081585	0.120357	0.168403	-0.034732	0.303236	0.197902	0.197902	0.41053	0.147453	0.00404	0.197902	0.159129	0.159129	0.042812	0.081585	0.00404	0.00404	0.081585	0.042812	0.081585	0.039544	0.463883	0.159129	0.197902	0.042812	0.093498	0.222177	0.159129	0.120357	0.042812	0.120357	0.042812	0.081585	-0.093776	0.081585	0.159129	0.275446	0.081585	0.093843																											
CNHY RAJ 52	0.098153	-0.034732	0.042812	0.120357	-0.073505	0.042812	-0.112277	-0.073505	0.042812	0.081585	-0.073505	0.159129	0.081585	0.159129	0.081585	0.142589	0.201407	0.081585	0.120357	0.255362	0.00404	0.042812	0.275446	0.00404	-0.112277	0.081585	0.120357	0.039544	-0.151049	0.120357	0.086769	0.086769	0.081585	0.081585	0.201407	0.086364	0.159129	0.131905	0.219819	0.120357	0.159129	0.00404	0.081585	0.081585	0.116987	0.159129	0.142589	0.042812	0.159129	0.182898	0.201407	0.00404	0.081585	-0.112277	0.00404	-0.112277	0.120357	0.042812	0.159129	0.120357	0.159129	-0.112277	0.093498	-0.018059	0.159129	0.042812	-0.112277	0.039544	0.086769	0.275446	0.042812	-0.073505	0.081585	0.042812	-0.151049	-0.048639	-0.073505	0.236674	0.391764	0.00404	-0.038123	0.081585																										
CNHY RAJ 53	-0.101232	-0.112277	-0.151049	0.00404	-0.112277	0.00404	-0.112277	-0.073505	-0.073505	0.00404	-0.112277	0.042812	-0.073505	0.081585	-0.034732	-0.098382	-0.014411	-0.073505	0.081585	-0.014411	-0.073505	-0.073505	0.197902	-0.073505	-0.112277	-0.073505	-0.112277	-0.068365	-0.151049	0.042812	0.041633	-0.003503	-0.073505	-0.034732	-0.068365	-0.048951	0.00404	-0.003503	0.116987	-0.073505	0.00404	-0.034732	0.00404	-0.034732	-0.088675	0.042812	0.062265	0.00404	0.042812	-0.158551	-0.068365	-0.034732	0.00404	-0.073505	0.042812	-0.073505	-0.034732	-0.034732	-0.034732	0.042812	-0.073505	-0.151049	-0.014411	-0.018059	-0.112277	0.00404	0.00404	-0.068365	0.041633	0.081585	-0.151049	-0.151049	0.00404	-0.073505	-0.073505	-0.048639	0.081585	0.159129	0.275446	-0.112277	-0.104105	0.00404	-0.073505																									
CNHY RAJ 54	0.048306	0.159129	0.081585	0.275446	0.042812	0.120357	-0.073505	0.197902	0.042812	0.314219	0.042812	0.159129	0.042812	0.00404	0.042812	0.142589	0.039544	0.081585	0.120357	0.36327	0.042812	-0.034732	0.391764	0.236674	0.081585	0.120357	0.159129	-0.068365	0.159129	0.236674	0.222177	-0.27432	0.159129	-0.112277	0.039544	0.176574	0.197902	0.041633	0.271234	-0.034732	0.042812	-0.034732	0.159129	0.197902	-0.140091	0.236674	-0.018059	0.159129	0.081585	0.069081	-0.014411	-0.034732	0.159129	0.197902	0.197902	0.042812	0.00404	0.00404	0.159129	0.081585	-0.112277	0.00404	-0.176274	0.142589	0.197902	-0.073505	-0.034732	-0.176274	-0.184048	0.120357	-0.189822	-0.034732	0.042812	0.081585	-0.112277	-0.093776	0.042812	0.314219	0.197902	0.081585	0.02786	0.197902	0.159129	0.042812																								
CNHY RAJ 55	0.247691	0.042812	0.042812	0.197902	0.081585	0.042812	0.042812	0.197902	0.159129	0.236674	0.120357	0.120357	0.159129	0.236674	0.120357	0.303236	0.201407	0.120357	0.236674	0.417225	0.120357	0.159129	0.159129	0.081585	0.159129	0.120357	0.159129	0.201407	0.042812	0.275446	0.402722	0.177041	0.081585	0.159129	0.309316	0.176574	0.236674	0.177041	0.32265	0.159129	0.236674	0.081585	0.120357	0.159129	0.168403	0.314219	0.222912	0.236674	0.197902	0.524347	0.309316	0.081585	0.00404	0.081585	-0.073505	0.081585	0.120357	0.00404	0.081585	0.159129	0.159129	0.120357	0.147453	0.142589	0.197902	0.159129	0.120357	0.201407	0.222177	0.352991	0.159129	0.042812	0.236674	0.197902	0.197902	0.177041	-0.073505	0.430536	0.469308	0.236674	0.159825	0.159129	0.081585	0.042812	0.197902																							
CNHY RAJ 56	0.048306	-0.034732	0.081585	0.081585	-0.073505	0.042812	-0.151049	0.081585	0.081585	0.275446	0.042812	0.081585	0.042812	-0.034732	-0.112277	-0.018059	-0.122319	0.00404	0.00404	0.255362	-0.073505	0.042812	0.391764	0.00404	0.00404	0.081585	0.081585	-0.176274	0.042812	0.042812	0.177041	-0.184048	0.00404	-0.151049	0.093498	0.041259	0.081585	0.041633	0.116987	-0.034732	0.081585	-0.151049	0.00404	0.197902	0.014156	0.120357	-0.018059	0.197902	0.120357	0.182898	0.093498	-0.189822	0.120357	0.081585	0.120357	0.00404	-0.228594	-0.151049	0.081585	-0.073505	-0.151049	0.042812	-0.230228	0.222912	0.159129	-0.073505	-0.112277	-0.176274	-0.093776	0.120357	-0.034732	0.00404	0.081585	-0.034732	-0.112277	-0.229184	-0.151049	0.236674	0.159129	0.120357	-0.038123	-0.073505	0.042812	0.00404	-0.112277	0.042812																						
CNHY RAJ 57	-0.00154	-0.073505	-0.034732	0.042812	-0.112277	0.120357	-0.073505	0.081585	0.00404	0.197902	0.081585	0.081585	0.081585	-0.112277	-0.073505	0.062265	-0.068365	0.042812	0.00404	0.147453	0.00404	0.081585	0.314219	0.00404	-0.112277	0.042812	0.00404	-0.176274	-0.034732	0.042812	0.041633	-0.184048	0.042812	-0.112277	-0.122319	-0.094056	0.00404	0.041633	0.168403	-0.034732	0.00404	-0.073505	0.042812	0.120357	-0.03726	0.042812	0.062265	0.159129	0.120357	0.182898	0.093498	-0.151049	0.120357	0.120357	0.081585	-0.073505	-0.112277	-0.112277	0.00404	0.00404	-0.112277	0.00404	-0.230228	0.222912	0.00404	-0.112277	-0.112277	-0.122319	-0.093776	0.081585	-0.112277	0.00404	0.081585	-0.112277	-0.151049	-0.184048	0.042812	0.197902	0.159129	0.00404	-0.038123	0.00404	0.00404	-0.112277	0.00404	0.159129	-0.151049																					
CNHY RAJ 58	-0.051386	-0.151049	0.00404	0.081585	-0.073505	0.120357	0.042812	-0.112277	-0.034732	0.042812	0.00404	-0.073505	0.081585	-0.034732	-0.034732	0.062265	0.039544	0.00404	-0.073505	0.093498	0.00404	0.081585	0.275446	0.081585	-0.228594	0.00404	-0.189822	-0.068365	-0.112277	-0.034732	-0.003503	-0.093776	0.00404	-0.073505	-0.176274	-0.048951	-0.034732	0.041633	0.065572	-0.073505	-0.034732	-0.073505	0.00404	0.081585	-0.088675	0.00404	0.142589	0.081585	0.120357	0.182898	0.093498	-0.034732	0.081585	0.00404	0.159129	0.00404	-0.112277	0.042812	-0.151049	0.00404	-0.112277	0.042812	-0.122319	0.222912	0.00404	0.042812	-0.112277	-0.068365	-0.048639	0.042812	-0.073505	0.00404	0.00404	0.042812	-0.189822	-0.229184	0.120357	0.120357	0.275446	-0.189822	0.02786	0.00404	-0.034732	-0.073505	0.042812	0.236674	-0.034732	-0.151049																				
CNHY RAJ 59	0.197845	0.00404	0.159129	0.236674	0.042812	-0.073505	-0.073505	-0.073505	0.197902	0.042812	0.042812	0.159129	0.236674	0.275446	0.081585	0.303236	0.201407	0.120357	0.00404	0.201407	0.042812	0.275446	0.391764	0.042812	0.042812	0.120357	0.120357	-0.014411	-0.112277	0.081585	0.177041	0.222177	0.197902	0.159129	0.417225	0.176574	0.236674	0.267313	0.116987	0.120357	0.314219	0.081585	0.159129	0.197902	0.32265	0.197902	0.303236	0.159129	0.314219	0.751979	0.417225	-0.034732	0.120357	0.00404	0.042812	-0.034732	0.081585	-0.034732	0.120357	0.120357	0.081585	0.081585	0.147453	0.222912	0.236674	0.042812	0.042812	0.147453	0.222177	0.352991	0.159129	0.042812	0.275446	0.00404	0.197902	0.041633	0.120357	0.314219	0.469308	0.159129	0.29179	0.120357	-0.073505	0.081585	0.275446	0.120357	0.042812	0.081585	0.120357																			
