	021612SERA	021612SERC	022312SERX	030912SERH	030912SERO	062112TKLA	070111TKLF	071612TKLC	071712SERD	071812SERL	071812TKLB	071912TKLE	080411TKLE	080511TKLE	SCOC HOL 02	SCOC HOL 05	SCOC HOL 06	SCOC HOL 07	SCOC HOL 08	SCOC HOL 11	SCOC HOL 12	SCOC HOL 13	SCOC HOL 15	SCOC HOL 16	SCOC HOL 18	SCOC HOL 19	SCOC HOL 21	SCOC HOL 22	SCOC HOL 23	SCOC RAJ 01	SCOC RAJ 02	SCOC RAJ 03	SCOC RAJ 04	SCOC RAJ 05	SCOC RAJ 06	SCOC RAJ 07	SCOC RAJ 08	SCOC RAJ 10	SCOC RAJ 11	SCOC RAJ 12	SCOC RAJ 13	SCOC RAJ 14	SCOC RAJ 15	SCOC RAJ 16	SCOC RAJ 18	SCOC RAJ 20	SCOC RAJ 22	SCOC RAJ 33	SCOC RAJ 34	SCOC RAJ 35	SCOC RAJ 36	SCOC RAJ 37	SCOC RAJ 38	SCOC RAJ 39	SCOC RAJ 40	SCOC RAJ 41	SCOC RAJ 42	SCOC RAJ 43	SCOC RAJ 46	SCOC RAJ 47	SCOC RAJ 48	SCOC RAJ 49	SCOC RAJ 50	SCOC RAJ 51	SCOC RAJ 52	SCOC RAJ 53	SCOC RAJ 54	SCOC RAJ 55	SCOC RAJ 56	SCOC RAJ 57	SCOC RAJ 58
SCOC RAJ 47	0.27238	0.100342	-0.019726	0.220411	0.100342	0.280445	-0.019726	0.280445	0.220411	0.160377	0.312915	0.070325	-0.049743	0.220411	0.070325	0.13036	0.250428	0.310462	0.070325	0.100342	0.010291	0.13036	0.160377	0.070325	0.220411	0.100342	0.100342	0.070325	0.160377	0.152161	0.13036	0.13036	0.190394	0.190394	0.250428	0.190394	0.13036	0.100342	0.160377	0.160377	0.220411	0.250428	0.220411	0.108491	0.190394	0.13036	0.13036	0.190394	0.100342	0.189493	0.070325	0.070325	0.070325	0.220411	0.070325	0.040308	0.13036	0.220411	0.040308												
SCOC RAJ 48	0.07089	0.13036	0.010291	0.13036	0.13036	0.220411	0.010291	0.220411	0.010291	0.310462	0.190978	0.040308	0.070325	0.160377	0.190394	0.220411	0.190394	0.280445	0.430531	-0.019726	-0.019726	0.34048	0.13036	0.100342	0.160377	0.100342	0.040308	0.160377	0.280445	0.282594	0.220411	0.070325	0.190394	0.190394	0.010291	0.070325	0.13036	0.160377	0.040308	0.250428	-0.07976	0.310462	-0.019726	0.204569	0.100342	0.100342	0.190394	-0.049743	0.010291	0.255159	0.070325	0.13036	0.13036	0.250428	0.100342	-0.049743	0.220411	0.13036	0.13036	0.160377											
SCOC RAJ 49	0.077857	0.236595	0.204569	0.204569	0.300647	0.076465	0.204569	-0.051638	0.04444	0.236595	0.312915	0.140517	0.108491	0.204569	0.204569	0.172543	0.108491	0.204569	0.300647	0.108491	0.172543	0.108491	0.236595	0.140517	0.204569	0.140517	0.300647	0.204569	0.236595	0.234839	0.204569	0.172543	0.268621	0.108491	0.076465	0.108491	0.172543	0.204569	0.204569	0.204569	0.268621	0.268621	0.04444	0.204569	0.300647	0.172543	0.268621	0.204569	0.300647	0.169778	0.172543	0.300647	0.172543	0.268621	0.140517	0.204569	-0.051638	0.140517	0.140517	0.140517	0.140517										
SCOC RAJ 50	0.238798	0.280445	0.190394	0.040308	0.100342	0.010291	0.190394	0.040308	-0.049743	0.190394	0.27227	0.070325	0.070325	0.100342	0.100342	0.010291	0.220411	0.190394	0.100342	-0.049743	0.220411	0.070325	0.13036	0.040308	0.070325	0.010291	0.070325	0.040308	0.100342	0.184769	0.190394	0.250428	0.100342	0.070325	0.070325	-0.049743	0.190394	0.13036	0.100342	0.250428	0.100342	0.13036	0.220411	0.076465	0.250428	0.160377	0.190394	0.100342	-0.07976	0.15666	-0.019726	0.040308	0.040308	0.280445	0.13036	0.040308	0.160377	0.160377	0.070325	0.160377	0.13036	0.172543									
SCOC RAJ 51	0.037308	0.100342	0.040308	0.100342	0.010291	0.040308	0.040308	0.040308	-0.019726	0.100342	0.150332	-0.019726	-0.109778	0.070325	0.100342	0.010291	0.13036	0.190394	0.160377	-0.049743	0.040308	0.100342	0.13036	0.010291	0.100342	0.010291	0.070325	0.010291	0.040308	0.152161	0.010291	-0.019726	0.100342	0.040308	0.010291	0.010291	0.070325	0.010291	-0.049743	0.100342	0.040308	0.190394	0.100342	0.012414	0.13036	0.100342	0.160377	-0.109778	0.100342	0.025328	0.100342	0.040308	-0.019726	0.010291	-0.049743	-0.019726	0.100342	-0.049743	0.040308	0.040308	-0.019726	0.140517	-0.019726								
SCOC RAJ 52	0.089731	0.249986	0.184769	0.021729	0.119553	0.119553	0.184769	0.086945	0.184769	0.021729	0.274285	0.054337	0.086945	-0.043487	0.119553	-0.043487	0.119553	0.184769	0.021729	0.054337	0.152161	0.054337	0.152161	0.054337	0.152161	0.054337	0.086945	-0.108703	0.217378	-0.239136	-0.010879	-0.043487	0.184769	-0.010879	0.282594	-0.010879	0.315202	-0.076095	0.021729	0.152161	0.086945	0.054337	0.217378	-0.150077	0.249986	0.086945	0.282594	0.119553	0.184769	0.003414	-0.043487	0.282594	0.152161	0.119553	0.119553	0.021729	-0.043487	-0.010879	0.021729	0.086945	0.282594	0.234839	0.054337	-0.043487							
SCOC RAJ 53	0.104471	0.100342	0.250428	0.160377	0.040308	0.190394	0.250428	0.190394	0.010291	0.070325	-0.012251	0.070325	0.040308	0.100342	0.160377	-0.019726	0.160377	0.13036	0.220411	0.010291	-0.019726	0.100342	0.070325	0.070325	0.13036	0.040308	-0.019726	0.070325	0.100342	0.152161	0.13036	0.13036	0.13036	0.160377	0.190394	0.100342	0.160377	-0.019726	0.070325	0.040308	0.160377	0.190394	0.070325	0.076465	0.310462	0.220411	0.070325	0.040308	0.100342	-0.007505	0.010291	0.100342	0.040308	0.13036	0.070325	0.010291	0.13036	0.070325	0.040308	0.13036	0.070325	0.140517	0.040308	-0.07976	-0.010879						
SCOC RAJ 54	0.200305	0.217378	0.152161	0.152161	0.119553	0.152161	0.152161	0.152161	0.119553	0.086945	0.0921	0.119553	-0.043487	0.217378	0.054337	-0.010879	0.249986	0.184769	0.119553	-0.010879	-0.043487	0.086945	0.086945	-0.010879	0.184769	0.119553	0.021729	0.054337	0.054337	0.184769	0.119553	0.152161	0.086945	0.152161	0.184769	0.152161	0.152161	0.086945	0.119553	0.119553	-0.010879	0.086945	0.119553	0.129862	0.152161	0.119553	0.184769	0.217378	0.021729	0.147247	-0.043487	0.086945	0.086945	0.054337	0.054337	0.119553	0.184769	0.054337	0.054337	-0.043487	0.021729	0.269831	0.086945	-0.010879	0.119553	-0.010879					
SCOC RAJ 55	0.07089	0.13036	0.13036	0.190394	0.13036	0.190394	0.13036	0.070325	0.100342	0.100342	0.312915	0.13036	0.13036	0.160377	0.160377	0.070325	0.13036	0.250428	0.160377	0.010291	0.160377	0.160377	0.040308	0.100342	0.100342	0.13036	0.100342	0.100342	0.100342	0.086945	0.070325	0.190394	0.250428	0.13036	0.070325	0.070325	0.160377	0.160377	0.220411	0.190394	0.250428	0.13036	0.190394	-0.019612	0.250428	0.13036	0.190394	0.220411	0.100342	0.123827	0.040308	0.190394	0.040308	0.13036	0.100342	0.010291	0.040308	0.100342	0.13036	0.100342	0.220411	0.108491	0.040308	0.040308	0.054337	0.070325	0.086945				
SCOC RAJ 56	-0.063437	0.160377	0.040308	0.100342	0.13036	0.13036	0.040308	-0.049743	0.220411	0.13036	0.190978	0.070325	0.100342	0.13036	0.250428	0.100342	-0.049743	0.280445	0.160377	0.010291	0.220411	-0.049743	0.190394	0.13036	0.220411	0.13036	0.250428	0.070325	0.34048	0.086945	0.13036	0.070325	0.310462	0.100342	0.070325	-0.049743	0.190394	0.160377	0.13036	0.220411	0.13036	0.13036	0.190394	0.204569	0.250428	-0.019726	0.160377	0.070325	0.220411	0.025328	0.190394	0.160377	0.13036	0.190394	0.13036	0.13036	-0.019726	0.070325	0.070325	0.160377	0.13036	-0.083664	0.190394	0.070325	0.086945	0.190394	0.249986	0.070325			
SCOC RAJ 57	0.238798	0.220411	0.13036	0.250428	0.160377	0.220411	0.13036	0.190394	0.190394	0.190394	0.27227	0.13036	0.040308	0.190394	0.190394	0.160377	0.250428	0.220411	0.070325	0.070325	0.13036	0.190394	0.070325	0.13036	0.220411	0.040308	0.13036	-0.019726	0.010291	0.119553	0.13036	0.250428	0.190394	0.070325	0.310462	0.220411	0.250428	0.100342	0.190394	0.310462	0.220411	0.100342	0.070325	0.108491	0.34048	0.190394	0.190394	0.310462	-0.049743	0.090994	0.070325	0.070325	0.010291	0.310462	0.100342	0.070325	0.220411	0.310462	0.100342	0.010291	0.250428	0.268621	0.100342	0.070325	0.086945	0.13036	0.054337	0.100342	0.220411		
SCOC RAJ 58	0.077857	0.140517	0.108491	0.108491	0.204569	0.108491	0.108491	0.076465	0.140517	0.108491	0.27227	0.140517	-0.019612	0.076465	0.140517	0.04444	0.172543	0.076465	0.140517	0.012414	0.140517	0.108491	0.108491	0.140517	0.076465	0.04444	0.04444	0.04444	-0.019612	0.129862	0.076465	0.076465	0.236595	0.140517	0.076465	0.076465	0.140517	0.140517	0.172543	0.140517	0.236595	0.236595	0.204569	0.04444	0.236595	0.108491	0.204569	0.108491	0.204569	0.028772	0.04444	0.172543	0.076465	0.04444	0.04444	0.04444	0.108491	0.04444	0.140517	0.04444	0.204569	0.04444	0.04444	-0.051638	-0.010108	0.076465	0.094869	0.04444	0.108491	0.204569	
