	060612TKLC	060712TKLB	060712TKLC	060712TKLG	060712TKLI	061312TKLA	062612TKLB	062712TKLF	062812TKLA	062812TKLB	071112TKLC	SCOC TP1 01	SCOC TP1 03	SCOC TP1 05	SCOC TP1 07	SCOC TP1 08	SCOC TP1 09	SCOC TP1 10	SCOC TP1 11	SCOC TP1 12	SCOC TP1 19	SCOC TP3 03	SCOC TP3 04	SCOC TP3 05	SCOC TP3 07	SCOC TP3 08	SCOC TP3 09	SCOC TP3 10	SCOC TP3 11	SCOC TP3 12	SCOC TP3 13	SCOC TP3 14	SCOC TP3 15	SCOC TP3 16	SCOC TP3 18	SCOC TP3 19	SCOC TP3 23	SCOC TP3 24	SCOC TP3 25	SCOC TP3 26	SCOC TP3 27	SCOC TP3 30	SCOC TP3 31	SCOC TP3 32	SCOC TP3 33	SCOC TP3 34	SCOC TP3 35	SCOC TP3 36	SCOC TP3 37	SCOC TP3 39	SCOC TP3 40	SCOC TP3 41	SCOC TP3 42	SCOC TP3 44	SCOC TP3 45	SCOC TP3 46	SCOC TP3 47	SCOC TP3 48	SCOC TP3 49	SCOC TP3 50	SCOC TP3 52	SCOC TP3 53	SCOC TP3 54	SCOC TP3 55	SCOC TP3 57	SCOC TP3 58	SCOC TP3 60	SCOC TP3 61	SCOC TP3 62	SCOC TP3 63	SCOC TP3 64	SCOC TP3 65	SCOC TP3 66	SCOC TP3 67	SCOC TP3 68	SCOC TP3 70	SCOC TP3 71
SCOC TP3 11	0.073758	0.102446	0.102446	0.338225	0.159821	0.241507	0.188509	0.102446	0.188509	-0.012306	0.188509	0.131134	0.159821	0.245885	0.188509	0.04507	0.073758	0.188509	0.217197	0.217197	-0.012306	0.188509	-0.069682	-0.040994	0.245885	0.237112	-0.012306	0.052197																																																	
SCOC TP3 12	0.131134	0.016382	0.102446	0.209268	0.102446	0.241507	0.245885	0.073758	0.159821	-0.012306	0.073758	0.131134	-0.012306	0.073758	0.274573	0.016382	0.073758	0.073758	-0.012306	0.159821	0.188509	0.016382	0.073758	0.073758	0.102446	0.191043	0.016382	-0.039836	0.04507																																																
SCOC TP3 13	0.073758	-0.012306	-0.09837	-0.016409	-0.069682	0.08031	0.016382	0.016382	0.102446	-0.040994	0.073758	0.04507	0.102446	0.131134	0.159821	0.016382	0.016382	0.131134	-0.012306	0.016382	0.016382	0.102446	-0.040994	0.073758	0.102446	0.052834	0.016382	-0.070513	-0.012306	0.102446																																															
SCOC TP3 14	0.102446	0.073758	0.188509	0.177028	0.073758	0.209268	0.073758	0.073758	0.016382	0.016382	0.188509	0.04507	0.102446	0.159821	0.217197	0.159821	0.159821	0.159821	0.04507	0.102446	0.102446	0.102446	0.131134	0.131134	0.217197	0.052834	0.131134	0.082875	0.131134	0.188509	0.04507																																														
SCOC TP3 15	0.102446	0.016382	0.159821	0.209268	-0.012306	0.04807	0.131134	0.159821	0.131134	0.04507	0.131134	0.073758	0.217197	0.188509	0.073758	0.016382	0.04507	0.073758	0.073758	-0.012306	-0.012306	0.102446	0.016382	0.102446	0.073758	0.144973	-0.040994	-0.070513	0.073758	0.102446	-0.069682	0.188509																																													
SCOC TP3 16	0.131134	-0.069682	-0.040994	0.08031	-0.040994	-0.080888	0.073758	0.04507	0.073758	0.04507	-0.040994	0.04507	0.188509	0.102446	0.131134	0.016382	0.073758	0.159821	0.016382	0.016382	0.073758	0.131134	0.04507	0.131134	0.102446	0.052834	0.016382	-0.070513	0.159821	0.073758	-0.069682	0.073758	0.016382																																												
SCOC TP3 18	0.131134	-0.040994	0.131134	0.08031	0.04507	0.209268	0.217197	0.073758	0.016382	0.016382	0.102446	0.073758	0.016382	0.159821	0.159821	0.131134	0.073758	0.131134	-0.012306	0.04507	0.131134	0.04507	0.073758	0.102446	0.04507	0.098904	0.073758	-0.070513	0.04507	-0.069682	-0.09837	0.102446	-0.040994	0.016382																																											
SCOC TP3 19	-0.127058	0.073758	0.131134	0.015831	0.016382	0.144789	0.016382	-0.012306	-0.040994	-0.012306	0.016382	0.016382	0.102446	0.159821	0.131134	0.102446	0.04507	0.131134	-0.09837	-0.040994	-0.012306	-0.184433	0.159821	-0.069682	-0.012306	0.052834	0.131134	0.02152	0.102446	0.102446	0.016382	0.073758	0.016382	0.073758	-0.012306																																										
SCOC TP3 23	0.016382	0.217197	0.245885	0.209268	0.131134	0.241507	0.188509	0.073758	0.073758	0.04507	0.188509	0.073758	0.245885	0.331949	0.303261	0.188509	0.217197	0.04507	0.073758	0.131134	0.159821	0.016382	0.245885	0.102446	0.159821	0.052834	0.159821	0.14423	0.274573	0.245885	0.131134	0.131134	0.245885	0.131134	0.245885	-0.155746																																									
SCOC TP3 24	0.073758	0.131134	0.245885	0.112549	0.102446	0.209268	-0.012306	0.073758	0.04507	-0.012306	0.159821	0.131134	0.331949	0.303261	0.245885	0.245885	0.159821	0.217197	-0.069682	0.188509	0.131134	-0.040994	0.188509	0.073758	0.016382	0.237112	0.217197	0.113553	0.274573	0.217197	0.073758	0.016382	0.245885	0.131134	0.188509	-0.184433	-0.127058																																								
