	060612TKLC	060712TKLB	060712TKLC	060712TKLG	060712TKLI	061312TKLA	062612TKLB	062712TKLF	062812TKLA	062812TKLB	071112TKLC	SCOC TP1 01	SCOC TP1 03	SCOC TP1 05	SCOC TP1 07	SCOC TP1 08	SCOC TP1 09	SCOC TP1 10	SCOC TP1 11	SCOC TP1 12	SCOC TP1 19	SCOC TP3 03	SCOC TP3 04	SCOC TP3 05	SCOC TP3 07	SCOC TP3 08	SCOC TP3 09	SCOC TP3 10	SCOC TP3 11	SCOC TP3 12	SCOC TP3 13	SCOC TP3 14	SCOC TP3 15	SCOC TP3 16	SCOC TP3 18	SCOC TP3 19	SCOC TP3 23	SCOC TP3 24	SCOC TP3 25	SCOC TP3 26	SCOC TP3 27	SCOC TP3 30	SCOC TP3 31	SCOC TP3 32	SCOC TP3 33	SCOC TP3 34	SCOC TP3 35	SCOC TP3 36	SCOC TP3 37	SCOC TP3 39	SCOC TP3 40	SCOC TP3 41	SCOC TP3 42	SCOC TP3 44	SCOC TP3 45	SCOC TP3 46	SCOC TP3 47	SCOC TP3 48	SCOC TP3 49	SCOC TP3 50	SCOC TP3 52	SCOC TP3 53	SCOC TP3 54	SCOC TP3 55	SCOC TP3 57	SCOC TP3 58	SCOC TP3 60	SCOC TP3 61	SCOC TP3 62	SCOC TP3 63	SCOC TP3 64	SCOC TP3 65	SCOC TP3 66	SCOC TP3 67	SCOC TP3 68	SCOC TP3 70	SCOC TP3 71
SCOC TP3 54	0.04507	-0.012306	0.188509	0.144789	0.016382	0.04807	0.159821	-0.012306	-0.012306	-0.012306	0.159821	-0.012306	0.131134	0.131134	0.073758	0.188509	-0.040994	0.04507	-0.040994	0.102446	0.073758	0.073758	0.04507	0.073758	0.04507	0.052834	0.131134	0.02152	0.217197	0.131134	0.102446	0.102446	0.159821	0.016382	0.073758	0.016382	-0.012306	0.073758	0.131134	0.102446	-0.021347	0.131134	-0.070513	0.159821	0.073758	-0.012306	0.113553	0.073758	0.082875	-0.012306	0.188509	0.159821	0.016382	0.073758	-0.069682	-0.195362	0.188509	0.073758	-0.040994	0.04507	0.131134	0.131134															
SCOC TP3 55	0.102446	0.131134	0.102446	0.273747	0.016382	0.177028	0.159821	0.04507	0.04507	0.131134	0.159821	-0.012306	0.188509	0.04507	0.159821	0.04507	0.04507	0.04507	0.073758	0.04507	0.131134	0.073758	0.131134	0.159821	0.102446	-0.131444	0.217197	-0.070513	0.217197	0.131134	0.102446	0.131134	0.016382	0.131134	0.131134	-0.012306	0.04507	0.217197	-0.012306	0.04507	-0.021347	0.131134	0.082875	0.102446	0.159821	0.016382	0.02152	0.073758	0.113553	0.016382	0.102446	0.159821	0.073758	0.131134	0.073758	0.152796	0.04507	0.131134	0.102446	-0.069682	0.073758	0.131134	0.159821														
SCOC TP3 57	0.02152	0.14423	0.205585	0.26503	-0.009158	0.195482	0.14423	-0.009158	0.14423	0.02152	0.113553	0.14423	0.14423	0.236263	0.113553	0.174908	0.113553	0.14423	-0.070513	0.174908	-0.009158	0.174908	0.205585	0.14423	0.205585	0.065685	0.205585	0.113553	0.297618	0.266941	0.113553	0.113553	0.205585	0.052197	0.174908	0.174908	0.113553	0.082875	0.236263	0.113553	0.119045	0.052197	0.113553	0.236263	-0.039836	0.174908	0.14423	0.14423	0.082875	0.174908	0.14423	0.113553	0.14423	0.02152	0.14423	-0.021283	0.297618	0.297618	0.14423	0.14423	0.14423	-0.039836	0.052197	0.174908													
SCOC TP3 58	-0.009158	0.052197	0.082875	0.09116	0.02152	0.021611	0.052197	-0.070513	0.052197	-0.070513	0.02152	-0.009158	0.14423	0.02152	0.02152	0.02152	-0.039836	-0.009158	0.02152	0.02152	0.052197	-0.009158	0.113553	0.052197	0.082875	0.014259	-0.039836	0.02152	0.174908	0.02152	0.052197	0.082875	0.052197	-0.009158	0.052197	-0.039836	-0.039836	-0.009158	0.082875	0.02152	0.015871	0.174908	0.052197	0.02152	0.02152	-0.009158	0.052197	0.02152	0.113553	-0.070513	0.02152	0.113553	-0.131869	-0.009158	-0.131869	-0.021283	0.052197	-0.039836	-0.039836	-0.009158	0.052197	0.052197	-0.131869	0.052197	0.14423												
SCOC TP3 60	0.188509	0.131134	-0.012306	0.112549	0.04507	0.209268	0.159821	0.102446	0.188509	0.073758	0.159821	0.131134	0.217197	0.245885	0.245885	0.188509	0.159821	0.131134	0.073758	0.102446	0.073758	0.073758	0.131134	0.131134	0.188509	0.144973	0.073758	0.02152	0.245885	0.131134	0.04507	0.131134	0.188509	0.04507	0.131134	0.073758	0.102446	0.102446	0.188509	0.159821	0.010564	0.217197	0.082875	0.073758	0.102446	0.159821	0.113553	0.073758	0.052197	-0.012306	0.217197	0.073758	0.016382	0.102446	0.073758	-0.108323	0.102446	-0.012306	0.016382	0.073758	0.073758	0.073758	0.016382	0.188509	0.205585	-0.070513											
SCOC TP3 61	0.174908	0.174908	0.14423	0.195482	0.082875	0.26503	0.14423	0.14423	0.052197	0.052197	0.02152	0.113553	0.082875	0.14423	0.205585	0.113553	0.205585	0.082875	0.082875	0.14423	0.205585	0.082875	0.266941	0.052197	0.14423	0.168537	0.082875	0.082875	0.205585	-0.039836	0.02152	0.174908	0.082875	0.174908	-0.101191	-0.070513	0.174908	0.14423	-0.009158	0.113553	-0.052912	0.236263	0.236263	-0.009158	0.14423	-0.009158	0.113553	0.174908	0.266941	0.082875	0.174908	0.113553	-0.009158	0.113553	0.113553	0.065756	0.052197	0.052197	-0.009158	-0.009158	0.113553	0.052197	0.14423	-0.009158	0.297618	0.052197	-0.070513										
SCOC TP3 62	-0.09837	0.04507	0.073758	0.015831	-0.040994	0.144789	0.131134	-0.040994	0.102446	-0.069682	0.159821	0.102446	-0.040994	0.159821	0.131134	0.131134	-0.040994	0.131134	-0.09837	0.04507	-0.012306	-0.012306	0.131134	-0.012306	0.217197	0.006765	0.102446	-0.009158	0.159821	0.102446	-0.040994	0.131134	0.245885	0.102446	0.073758	-0.012306	0.04507	0.016382	0.131134	0.073758	0.042474	0.073758	0.14423	0.131134	-0.012306	0.073758	0.02152	0.04507	-0.039836	0.073758	0.159821	0.04507	0.016382	0.073758	0.016382	-0.195362	0.217197	0.217197	-0.040994	0.188509	0.04507	0.188509	-0.012306	0.159821	-0.039836	0.052197	0.073758	0.082875									
SCOC TP3 63	0.04507	0.073758	0.102446	0.112549	-0.012306	0.112549	0.102446	0.04507	0.04507	0.04507	0.188509	0.073758	0.159821	0.188509	0.073758	0.102446	0.04507	0.131134	0.016382	0.102446	0.016382	0.131134	0.04507	0.073758	0.131134	0.283182	0.159821	0.052197	0.131134	0.217197	0.04507	0.131134	0.102446	0.102446	0.159821	0.073758	0.131134	0.102446	0.131134	0.102446	0.106294	0.159821	0.052197	0.188509	-0.040994	0.102446	0.082875	-0.012306	-0.070513	0.102446	0.274573	0.159821	0.102446	-0.012306	0.04507	0.065756	0.217197	0.159821	0.102446	0.102446	0.131134	0.04507	0.073758	0.131134	0.02152	0.113553	0.131134	0.14423	-0.012306								
SCOC TP3 64	0.159821	0.102446	0.159821	0.209268	0.04507	-0.048648	0.188509	0.073758	0.04507	0.073758	0.016382	0.073758	0.245885	0.102446	0.102446	0.102446	0.016382	0.245885	-0.012306	0.04507	0.04507	0.188509	0.131134	0.016382	0.04507	0.191043	0.102446	-0.009158	0.159821	0.188509	-0.012306	0.217197	-0.012306	-0.012306	0.016382	0.04507	0.245885	0.131134	0.159821	0.04507	-0.053257	0.04507	0.113553	0.04507	0.131134	0.131134	0.205585	0.102446	0.236263	0.102446	0.073758	0.131134	0.016382	0.102446	0.159821	0.022237	0.102446	0.159821	0.102446	0.04507	0.159821	-0.012306	0.073758	0.131134	0.113553	0.02152	0.131134	-0.009158	0.131134	0.131134							
SCOC TP3 65	0.016382	0.04507	0.102446	0.241507	-0.012306	0.209268	0.159821	0.04507	0.073758	-0.012306	0.159821	0.073758	-0.012306	0.188509	0.188509	0.102446	0.131134	0.131134	0.102446	0.102446	0.131134	0.131134	0.073758	0.102446	0.131134	0.144973	0.102446	-0.039836	0.131134	0.102446	-0.040994	0.04507	0.131134	0.102446	-0.069682	0.04507	0.131134	0.131134	0.04507	0.102446	-0.053257	0.131134	0.113553	0.073758	0.217197	0.016382	0.02152	0.159821	-0.039836	0.131134	0.245885	0.073758	0.102446	0.04507	-0.040994	0.065756	0.217197	0.217197	0.131134	0.131134	0.073758	0.159821	0.073758	0.073758	0.082875	0.052197	0.217197	-0.009158	-0.012306	0.073758	0.159821						
SCOC TP3 66	0.102446	0.131134	0.016382	0.08031	-0.012306	0.04807	0.102446	0.102446	0.04507	-0.069682	-0.040994	0.188509	-0.069682	0.159821	0.073758	0.188509	0.04507	0.131134	-0.012306	0.073758	0.102446	0.131134	0.131134	-0.012306	0.188509	0.144973	0.073758	0.082875	0.131134	0.131134	-0.069682	0.102446	0.131134	0.016382	0.04507	0.073758	0.159821	0.131134	0.04507	0.016382	-0.148988	0.102446	0.113553	0.016382	0.016382	0.131134	0.113553	0.159821	-0.009158	0.016382	0.102446	-0.012306	0.073758	0.073758	0.016382	-0.021283	0.04507	0.188509	0.016382	0.159821	0.159821	0.016382	0.016382	0.188509	0.052197	0.02152	0.04507	-0.039836	-0.09837	0.073758	-0.069682	-0.012306					
SCOC TP3 67	0.04507	-0.012306	0.04507	0.04807	0.016382	0.112549	-0.127058	-0.069682	-0.012306	0.073758	0.131134	0.102446	0.131134	0.102446	0.102446	0.188509	-0.040994	0.073758	0.016382	0.217197	0.102446	0.073758	0.131134	0.131134	-0.069682	-0.039305	0.131134	-0.101191	0.188509	0.188509	0.04507	0.131134	0.159821	0.102446	0.131134	-0.012306	0.131134	0.04507	0.102446	0.04507	-0.021347	0.159821	-0.131869	0.04507	0.073758	0.04507	0.02152	0.131134	-0.162546	0.073758	0.188509	0.102446	0.073758	0.073758	0.073758	-0.021283	0.102446	0.102446	0.04507	0.159821	-0.012306	-0.040994	0.016382	0.073758	0.02152	0.052197	0.131134	0.082875	0.016382	-0.012306	0.217197	0.102446	0.073758				
SCOC TP3 68	0.04507	-0.012306	0.217197	0.209268	0.102446	0.241507	0.188509	0.016382	0.04507	0.073758	0.159821	0.131134	0.217197	0.131134	0.245885	0.188509	0.04507	0.04507	0.102446	0.188509	0.188509	0.102446	0.073758	0.102446	0.073758	0.191043	0.131134	0.052197	0.159821	0.04507	0.159821	0.159821	0.04507	0.131134	0.073758	0.102446	0.217197	0.217197	0.245885	0.159821	0.106294	0.245885	0.082875	0.073758	0.131134	0.073758	0.052197	0.131134	0.174908	0.188509	0.217197	0.188509	0.102446	-0.040994	0.131134	-0.021283	0.159821	0.016382	-0.069682	0.102446	-0.012306	0.159821	0.073758	0.159821	0.236263	0.02152	0.131134	0.02152	0.188509	0.188509	0.073758	0.159821	0.159821	0.073758			
SCOC TP3 70	0.245885	0.131134	0.131134	0.370465	0.04507	-0.048648	0.188509	0.159821	0.102446	0.159821	0.04507	0.159821	0.188509	0.131134	0.04507	0.159821	0.217197	0.159821	0.016382	0.188509	0.131134	0.303261	0.303261	-0.012306	0.188509	0.237112	0.188509	0.02152	0.188509	0.217197	0.131134	0.274573	0.131134	0.04507	0.131134	0.159821	0.245885	0.303261	0.159821	-0.069682	0.010564	0.131134	0.052197	0.274573	0.04507	0.188509	0.174908	0.04507	0.205585	0.245885	0.245885	0.274573	0.303261	0.303261	0.159821	0.109276	0.245885	0.303261	0.188509	0.159821	0.303261	0.188509	0.159821	0.131134	0.14423	0.205585	0.274573	0.236263	0.131134	0.159821	0.073758	0.159821	0.016382	0.131134	0.303261		
SCOC TP3 71	0.102446	0.073758	0.102446	0.209268	0.016382	0.241507	0.188509	0.131134	0.131134	0.159821	0.217197	-0.012306	0.274573	0.131134	0.217197	0.159821	0.159821	0.217197	0.04507	0.131134	0.102446	0.131134	0.102446	0.188509	0.188509	0.191043	0.217197	0.14423	0.188509	0.245885	0.016382	0.245885	0.131134	0.188509	0.073758	0.04507	0.274573	0.274573	0.102446	0.04507	0.074384	0.131134	0.205585	0.188509	0.245885	0.159821	0.14423	0.04507	0.236263	0.159821	0.217197	0.303261	0.102446	0.04507	0.102446	0.065756	0.102446	0.188509	0.159821	0.245885	0.217197	0.102446	0.188509	0.131134	0.236263	0.052197	0.274573	0.174908	0.131134	0.188509	0.131134	0.217197	0.274573	0.188509	0.217197	0.303261	
