	052912TKLA	060512TKLC	060712TKLA	060712TKLF	060712TKLH	060712TKLJ	060812TKLA	061212TKLA	061412TKLA	061412TKLB	061512TKLB	061512TKLD	062612TKLC	062612TKLD	062712TKLA	062712TKLB	062712TKLC	062712TKLD	062712TKLE	062712TKLG	062712TKLH	062712TKLI	062812TKLC	071012TKLA	071112TKLA	071112TKLE	071212TKLA	072412TKLA	072512TKLB	CNHY TP1 02	CNHY TP1 03	CNHY TP1 04	CNHY TP1 05	CNHY TP1 06	CNHY TP1 07	CNHY TP1 08	CNHY TP1 09	CNHY TP1 10	CNHY TP1 11	CNHY TP1 12	CNHY TP1 13	CNHY TP1 14	CNHY TP1 15	CNHY TP1 16	CNHY TP1 17	CNHY TP3 01	CNHY TP3 02	CNHY TP3 05	CNHY TP3 07	CNHY TP3 10	CNHY TP3 12	CNHY TP3 13	CNHY TP3 15	CNHY TP3 16	CNHY TP3 17	CNHY TP3 18	CNHY TP3 20	CNHY TP3 21	CNHY TP3 23	CNHY TP3 25	CNHY TP3 26	CNHY TP3 28	CNHY TP3 30	CNHY TP3 31
CNHY TP1 03	0.126314	0.126314	0.03684	-0.007897	0.03684	0.081577	0.236266	-0.142107	0.17105	0.394734	-0.007897	0.081577	0.126314	0.349997	0.126314	0.215787	0.081577	0.215787	0.17105	0.17105	0.126314	0.394734	0.02229	0.03684	-0.052633	0.17105	0.081577	0.030197	-0.052633	0.17105																																		
CNHY TP1 04	0.394734	0.305261	0.260524	0.260524	0.215787	0.439471	0.113555	-0.052633	0.126314	0.260524	0.03684	0.260524	0.394734	0.439471	0.349997	0.126314	0.215787	0.528944	0.305261	0.03684	0.215787	0.618418	-0.093774	0.081577	0.305261	0.349997	0.126314	0.118564	0.17105	-0.007897	0.126314																																	
CNHY TP1 05	0.386392	0.386392	0.386392	-0.246745	-0.120118	0.386392	0.00651	-0.373373	0.00651	0.259765	-0.246745	0.639647	0.766275	0.766275	0.259765	-0.246745	0.259765	0.51302	0.259765	0.00651	-0.246745	1.14616	-0.120118	-0.120118	0.259765	0.639647	-0.246745	-0.373373	0.00651	-0.120118	-0.120118	-0.120118																																
CNHY TP1 06	0.305261	0.305261	0.03684	0.126314	0.081577	0.215787	0.236266	0.126314	0.260524	0.484207	0.03684	0.215787	0.305261	0.484207	0.17105	0.17105	0.126314	0.305261	0.215787	0.260524	0.126314	0.349997	0.312452	0.081577	0.126314	0.215787	0.03684	0.20693	-0.007897	0.215787	0.03684	0.349997	0.00651																															
CNHY TP1 07	0.081577	0.081577	0.081577	0.03684	0.03684	0.03684	0.236266	0.126314	0.081577	0.215787	0.081577	-0.007897	0.215787	0.394734	0.081577	0.215787	0.081577	0.081577	0.17105	0.17105	0.081577	0.17105	0.080322	0.03684	-0.052633	-0.09737	0.081577	0.383662	0.03684	0.17105	0.03684	0.349997	0.259765	0.03684																														
CNHY TP1 08	0.260524	0.215787	0.215787	-0.052633	0.17105	0.03684	0.358977	0.03684	0.305261	0.260524	0.17105	0.305261	0.439471	0.618418	0.260524	0.305261	0.126314	0.260524	0.081577	0.305261	0.126314	0.484207	-0.035742	0.126314	0.17105	0.305261	0.17105	0.20693	0.17105	-0.007897	-0.007897	0.215787	-0.120118	0.081577	0.126314																													
CNHY TP1 09	0.394734	0.260524	0.260524	0.260524	0.17105	0.349997	0.297621	0.17105	0.215787	0.439471	0.126314	0.126314	-0.007897	0.484207	0.394734	0.305261	0.215787	0.484207	0.349997	0.215787	0.305261	0.394734	0.138355	0.126314	0.081577	0.305261	0.215787	0.472029	-0.007897	0.17105	0.081577	0.03684	0.386392	0.126314	0.215787	0.215787																												
CNHY TP1 10	0.439471	0.349997	0.17105	0.349997	0.215787	0.528944	0.236266	0.17105	0.17105	0.439471	0.126314	0.215787	0.215787	0.394734	0.439471	0.17105	0.260524	0.573681	0.439471	0.126314	0.349997	0.573681	0.254419	0.126314	0.305261	0.305261	0.17105	0.383662	0.17105	0.349997	0.215787	0.081577	0.259765	0.126314	0.305261	0.439471	0.126314																											
CNHY TP1 11	0.349997	0.126314	0.215787	0.126314	0.081577	0.081577	0.358977	0.126314	0.215787	0.349997	0.081577	0.126314	0.17105	0.528944	0.305261	0.305261	0.126314	0.260524	0.305261	0.215787	0.126314	0.528944	0.254419	-0.007897	0.03684	0.215787	0.126314	0.383662	0.17105	0.126314	0.081577	0.305261	0.259765	0.081577	0.081577	0.126314	0.03684	0.215787																										
CNHY TP1 12	0.081577	0.081577	0.03684	0.03684	-0.007897	0.126314	-0.009156	0.126314	0.081577	0.17105	0.03684	0.081577	0.260524	0.215787	0.03684	0.126314	0.081577	0.17105	0.081577	0.03684	-0.007897	0.394734	0.196387	0.03684	0.17105	0.03684	0.081577	0.295296	0.03684	0.17105	0.081577	0.215787	0.133137	0.17105	0.17105	0.215787	0.260524	0.03684	0.17105																									
