"OBJECTID","array","ylatitude","xlongitude"
1,"LOM-10",32.683040,-117.247640
2,"LOM-12",32.683790,-117.247800
3,"LOM-11",32.684080,-117.247390
4,"LOM-06",32.695610,-117.243440
5,"LOM-05",32.695920,-117.242980
6,"LOM-18",32.696746,-117.242804
7,"LOM-08",32.703450,-117.253430
8,"LOM-09",32.705740,-117.253710
