"OBJECTID","array","ylatitude","xlongitude"
1,"SYR-13",33.112600,-116.647150
2,"SYR-14",33.113520,-116.646570
3,"SYR-11",33.119030,-116.666720
4,"SYR-25",33.120230,-116.667400
5,"SYR-10",33.124610,-116.670610
6,"SYR-09",33.124900,-116.674710
7,"SYR-29",33.128050,-116.671140
8,"SYR-08",33.131860,-116.719650
9,"SYR-33",33.133010,-116.719770
10,"SYR-32",33.133370,-116.720780
