	060612TKLC	060712TKLB	060712TKLC	060712TKLG	060712TKLI	061312TKLA	062612TKLB	062712TKLF	062812TKLA	062812TKLB	071112TKLC	SCOC_TP1_01	SCOC_TP1_03	SCOC_TP1_05	SCOC_TP1_07	SCOC_TP1_08	SCOC_TP1_09	SCOC_TP1_10	SCOC_TP1_11	SCOC_TP1_12	SCOC_TP1_19	SCOC_TP3_03	SCOC_TP3_04	SCOC_TP3_05	SCOC_TP3_07	SCOC_TP3_08	SCOC_TP3_09	SCOC_TP3_10	SCOC_TP3_11	SCOC_TP3_12	SCOC_TP3_13	SCOC_TP3_14	SCOC_TP3_15	SCOC_TP3_16	SCOC_TP3_18	SCOC_TP3_19	SCOC_TP3_23	SCOC_TP3_24	SCOC_TP3_25	SCOC_TP3_26	SCOC_TP3_27	SCOC_TP3_30	SCOC_TP3_31	SCOC_TP3_32	SCOC_TP3_33	SCOC_TP3_34	SCOC_TP3_35	SCOC_TP3_36	SCOC_TP3_37	SCOC_TP3_39	SCOC_TP3_40	SCOC_TP3_41	SCOC_TP3_42	SCOC_TP3_44	SCOC_TP3_45	SCOC_TP3_46	SCOC_TP3_47	SCOC_TP3_48	SCOC_TP3_49	SCOC_TP3_50	SCOC_TP3_52	SCOC_TP3_53	SCOC_TP3_54	SCOC_TP3_55	SCOC_TP3_57	SCOC_TP3_58	SCOC_TP3_60	SCOC_TP3_61	SCOC_TP3_62	SCOC_TP3_63	SCOC_TP3_64	SCOC_TP3_65	SCOC_TP3_66	SCOC_TP3_67	SCOC_TP3_68	SCOC_TP3_70	SCOC_TP3_71
SCOC_TP1_11	0.016382	0.016382	0.102446	0.04807	-0.069682	0.015831	0.073758	-0.012306	-0.09837	-0.069682	-0.012306	0.016382	0.016382	0.016382	0.102446	0.102446	-0.012306	0.04507																																																											
SCOC_TP1_12	-0.069682	0.016382	0.04507	0.08031	-0.012306	0.04807	0.217197	0.073758	0.073758	0.102446	0.073758	0.073758	0.159821	0.102446	0.217197	0.04507	0.073758	0.159821	-0.040994																																																										
SCOC_TP1_19	-0.040994	0.073758	0.131134	0.177028	-0.012306	0.04807	0.073758	-0.012306	0.073758	0.016382	0.131134	0.102446	0.131134	0.217197	0.102446	0.102446	-0.012306	0.102446	-0.040994	0.04507																																																									
SCOC_TP3_03	-0.012306	0.073758	0.04507	-0.048648	0.131134	0.273747	0.188509	0.016382	0.102446	-0.012306	0.102446	0.159821	0.016382	0.073758	0.274573	0.131134	0.04507	0.188509	-0.155746	0.04507	0.073758																																																								
SCOC_TP3_04	0.073758	0.016382	0.073758	0.177028	0.04507	0.04807	0.159821	0.04507	0.102446	0.04507	0.159821	0.04507	0.159821	0.016382	0.188509	0.159821	-0.127058	0.159821	0.131134	0.073758	0.04507	0.102446																																																							
SCOC_TP3_05	-0.069682	0.073758	0.016382	0.112549	0.016382	0.112549	0.131134	0.016382	-0.069682	-0.09837	0.04507	0.102446	-0.012306	0.159821	0.073758	0.073758	0.04507	0.102446	-0.09837	0.016382	-0.040994	-0.040994	0.159821																																																						
SCOC_TP3_07	0.073758	-0.012306	0.217197	0.209268	-0.012306	0.04807	0.016382	0.04507	-0.09837	0.102446	0.131134	-0.040994	0.331949	0.102446	0.131134	0.274573	-0.012306	0.073758	0.016382	0.217197	0.159821	0.188509	0.04507	0.131134																																																					
SCOC_TP3_08	0.098904	0.052834	-0.085375	0.059712	0.191043	0.283597	0.144973	0.052834	0.237112	0.006765	0.237112	0.237112	0.006765	0.191043	0.375321	0.144973	0.006765	0.098904	0.052834	0.098904	0.098904	-0.085375	0.098904	0.191043	0.283182																																																				
SCOC_TP3_09	0.04507	0.073758	0.016382	0.241507	0.102446	0.112549	0.073758	0.04507	0.188509	-0.040994	0.073758	0.131134	0.073758	0.131134	0.188509	0.016382	0.073758	0.016382	0.159821	0.073758	0.131134	0.131134	0.102446	0.016382	0.217197	0.144973																																																			
SCOC_TP3_10	0.02152	-0.070513	0.113553	0.160708	-0.070513	-0.082711	0.02152	0.02152	-0.009158	0.02152	0.052197	-0.009158	0.14423	0.052197	0.082875	-0.009158	-0.039836	0.082875	-0.039836	-0.039836	-0.039836	0.082875	0.02152	0.082875	-0.039836	-0.140019	-0.009158																																																		
