	060612TKLC	060712TKLB	060712TKLC	060712TKLG	060712TKLI	061312TKLA	062612TKLB	062712TKLF	062812TKLA	062812TKLB	071112TKLC	SCOC_TP1_01	SCOC_TP1_03	SCOC_TP1_05	SCOC_TP1_07	SCOC_TP1_08	SCOC_TP1_09	SCOC_TP1_10	SCOC_TP1_11	SCOC_TP1_12	SCOC_TP1_19	SCOC_TP3_03	SCOC_TP3_04	SCOC_TP3_05	SCOC_TP3_07	SCOC_TP3_08	SCOC_TP3_09	SCOC_TP3_10	SCOC_TP3_11	SCOC_TP3_12	SCOC_TP3_13	SCOC_TP3_14	SCOC_TP3_15	SCOC_TP3_16	SCOC_TP3_18	SCOC_TP3_19	SCOC_TP3_23	SCOC_TP3_24	SCOC_TP3_25	SCOC_TP3_26	SCOC_TP3_27	SCOC_TP3_30	SCOC_TP3_31	SCOC_TP3_32	SCOC_TP3_33	SCOC_TP3_34	SCOC_TP3_35	SCOC_TP3_36	SCOC_TP3_37	SCOC_TP3_39	SCOC_TP3_40	SCOC_TP3_41	SCOC_TP3_42	SCOC_TP3_44	SCOC_TP3_45	SCOC_TP3_46	SCOC_TP3_47	SCOC_TP3_48	SCOC_TP3_49	SCOC_TP3_50	SCOC_TP3_52	SCOC_TP3_53	SCOC_TP3_54	SCOC_TP3_55	SCOC_TP3_57	SCOC_TP3_58	SCOC_TP3_60	SCOC_TP3_61	SCOC_TP3_62	SCOC_TP3_63	SCOC_TP3_64	SCOC_TP3_65	SCOC_TP3_66	SCOC_TP3_67	SCOC_TP3_68	SCOC_TP3_70	SCOC_TP3_71
SCOC_TP3_42	-0.012306	0.04507	0.04507	-0.080888	0.073758	0.144789	0.159821	-0.040994	0.131134	0.016382	0.04507	0.073758	0.217197	0.073758	0.217197	0.016382	-0.012306	0.188509	-0.012306	-0.012306	0.016382	-0.155746	0.016382	0.073758	0.131134	-0.039305	0.131134	0.02152	0.073758	0.016382	-0.069682	0.102446	0.04507	0.016382	0.016382	-0.155746	0.016382	-0.040994	0.102446	0.016382	0.042474	0.102446	0.052197	0.04507	0.016382	0.016382	0.02152	0.073758	0.052197	-0.09837	0.131134	0.131134																									
SCOC_TP3_44	-0.040994	-0.012306	0.04507	0.144789	0.016382	0.144789	0.188509	-0.040994	0.073758	0.04507	0.016382	0.131134	0.073758	-0.040994	0.159821	0.04507	0.04507	0.102446	0.04507	0.04507	0.159821	0.016382	-0.069682	0.04507	0.159821	0.098904	-0.012306	0.052197	0.131134	0.04507	0.073758	0.131134	0.159821	0.04507	0.102446	0.131134	0.217197	0.217197	0.131134	0.102446	0.074384	0.102446	0.14423	0.188509	0.102446	0.073758	0.236263	0.102446	0.082875	0.073758	0.102446	0.159821	0.04507																								
SCOC_TP3_45	0.016382	0.04507	0.159821	0.273747	-0.069682	0.08031	0.131134	-0.012306	0.016382	-0.069682	0.102446	0.04507	0.073758	0.04507	0.131134	0.073758	0.073758	0.102446	0.04507	0.04507	0.073758	0.102446	0.016382	0.073758	0.131134	0.098904	-0.040994	-0.039836	0.159821	0.04507	0.073758	-0.012306	0.131134	-0.012306	0.102446	0.073758	0.016382	0.073758	0.131134	0.131134	0.010564	0.245885	0.113553	0.159821	0.159821	-0.012306	0.113553	0.073758	0.052197	0.102446	0.073758	0.131134	0.073758	-0.040994																							
SCOC_TP3_46	-0.064803	-0.108323	0.065756	-0.029734	-0.021283	-0.029734	0.022237	-0.064803	-0.064803	-0.108323	-0.021283	0.022237	0.065756	0.022237	0.022237	0.065756	-0.064803	-0.151842	-0.238882	0.022237	-0.108323	-0.021283	-0.021283	-0.064803	-0.064803	-0.12537	-0.108323	-0.108323	0.065756	-0.021283	-0.151842	0.022237	-0.021283	-0.064803	-0.064803	-0.021283	-0.064803	-0.151842	0.239835	-0.064803	-0.021283	0.109276	-0.021283	0.109276	-0.108323	-0.021283	0.109276	0.022237	-0.021283	-0.064803	0.065756	-0.021283	-0.064803	-0.021283	-0.064803																						
SCOC_TP3_47	0.188509	0.073758	-0.012306	0.015831	0.131134	0.177028	0.217197	0.159821	0.159821	0.073758	0.102446	0.102446	0.102446	0.04507	0.131134	0.131134	0.016382	0.217197	0.102446	0.159821	0.188509	0.073758	0.073758	0.188509	0.159821	0.098904	0.159821	0.14423	0.245885	0.131134	0.016382	0.217197	0.04507	0.016382	0.04507	0.159821	0.360637	0.303261	0.073758	0.073758	0.010564	0.159821	0.113553	0.073758	0.188509	0.245885	0.266941	0.073758	0.113553	-0.069682	0.016382	0.073758	0.073758	0.102446	0.188509	0.022237																					
SCOC_TP3_48	0.04507	0.131134	0.188509	0.177028	0.073758	0.241507	0.131134	0.073758	0.073758	0.073758	0.131134	0.073758	0.303261	0.245885	0.131134	0.159821	0.016382	0.073758	0.159821	0.188509	0.159821	0.102446	0.073758	0.131134	0.04507	0.191043	0.016382	0.113553	0.131134	0.016382	0.159821	0.159821	0.016382	0.102446	0.102446	0.016382	0.073758	0.073758	0.217197	0.102446	0.010564	0.217197	0.205585	0.016382	0.217197	0.073758	0.113553	-0.09837	0.236263	0.102446	0.217197	0.188509	-0.012306	0.131134	0.073758	0.022237	0.131134																				
SCOC_TP3_49	-0.040994	0.016382	0.159821	0.177028	-0.012306	0.112549	0.131134	0.016382	-0.069682	-0.069682	0.073758	0.016382	0.102446	0.073758	0.131134	0.073758	-0.012306	0.04507	-0.040994	0.04507	0.073758	0.073758	0.04507	-0.069682	0.016382	0.283182	0.073758	0.02152	0.159821	-0.040994	0.131134	0.102446	0.102446	0.016382	0.102446	0.016382	0.073758	0.073758	0.131134	0.131134	0.010564	0.131134	0.113553	0.073758	0.073758	-0.012306	0.052197	0.073758	0.14423	0.102446	0.04507	0.131134	0.04507	0.016382	-0.09837	-0.108323	0.073758	-0.012306																			
SCOC_TP3_50	0.102446	0.102446	0.131134	0.241507	0.04507	0.015831	0.102446	0.073758	0.016382	0.016382	0.073758	-0.012306	0.159821	0.102446	0.159821	0.04507	0.016382	-0.040994	0.016382	0.073758	0.016382	0.073758	0.016382	0.016382	0.073758	-0.039305	0.016382	-0.039836	0.159821	0.102446	0.04507	0.159821	-0.012306	0.04507	0.102446	0.016382	-0.012306	0.073758	0.073758	0.131134	0.042474	0.188509	0.02152	0.131134	0.131134	-0.040994	0.174908	0.159821	0.14423	0.073758	0.159821	0.102446	0.016382	0.073758	0.073758	-0.108323	0.102446	0.04507	0.073758																		
SCOC_TP3_52	-0.069682	0.04507	0.102446	0.144789	0.016382	0.241507	0.073758	-0.09837	0.016382	-0.012306	0.159821	0.073758	0.131134	0.217197	0.159821	0.188509	0.016382	0.102446	0.016382	0.159821	0.131134	-0.012306	0.102446	0.073758	0.073758	0.052834	0.073758	-0.070513	0.131134	0.016382	0.073758	0.016382	0.159821	0.131134	0.131134	0.04507	0.159821	0.04507	0.188509	0.131134	0.010564	0.188509	0.14423	0.102446	0.159821	0.131134	0.052197	0.073758	0.082875	0.102446	0.102446	0.188509	0.04507	0.016382	0.04507	-0.064803	0.188509	0.016382	0.016382	0.102446																	
SCOC_TP3_53	0.159821	0.102446	0.016382	0.144789	0.04507	0.08031	-0.040994	0.016382	0.016382	0.102446	0.016382	0.04507	0.188509	0.073758	0.188509	0.102446	-0.012306	0.131134	-0.012306	0.188509	0.04507	0.159821	0.04507	0.131134	0.016382	0.098904	0.04507	-0.039836	0.159821	0.102446	-0.012306	0.131134	0.102446	-0.012306	0.04507	0.131134	0.245885	0.159821	0.102446	0.073758	-0.053257	0.188509	-0.009158	0.016382	0.102446	0.131134	0.205585	0.159821	0.082875	0.102446	0.016382	0.016382	0.073758	0.016382	0.102446	-0.021283	0.016382	0.073758	0.016382	0.016382	0.04507																
SCOC_TP3_54	0.04507	-0.012306	0.188509	0.144789	0.016382	0.04807	0.159821	-0.012306	-0.012306	-0.012306	0.159821	-0.012306	0.131134	0.131134	0.073758	0.188509	-0.040994	0.04507	-0.040994	0.102446	0.073758	0.073758	0.04507	0.073758	0.04507	0.052834	0.131134	0.02152	0.217197	0.131134	0.102446	0.102446	0.159821	0.016382	0.073758	0.016382	-0.012306	0.073758	0.131134	0.102446	-0.021347	0.131134	-0.070513	0.159821	0.073758	-0.012306	0.113553	0.073758	0.082875	-0.012306	0.188509	0.159821	0.016382	0.073758	-0.069682	-0.195362	0.188509	0.073758	-0.040994	0.04507	0.131134	0.131134															
SCOC_TP3_55	0.102446	0.131134	0.102446	0.273747	0.016382	0.177028	0.159821	0.04507	0.04507	0.131134	0.159821	-0.012306	0.188509	0.04507	0.159821	0.04507	0.04507	0.04507	0.073758	0.04507	0.131134	0.073758	0.131134	0.159821	0.102446	-0.131444	0.217197	-0.070513	0.217197	0.131134	0.102446	0.131134	0.016382	0.131134	0.131134	-0.012306	0.04507	0.217197	-0.012306	0.04507	-0.021347	0.131134	0.082875	0.102446	0.159821	0.016382	0.02152	0.073758	0.113553	0.016382	0.102446	0.159821	0.073758	0.131134	0.073758	0.152796	0.04507	0.131134	0.102446	-0.069682	0.073758	0.131134	0.159821														
SCOC_TP3_57	0.02152	0.14423	0.205585	0.26503	-0.009158	0.195482	0.14423	-0.009158	0.14423	0.02152	0.113553	0.14423	0.14423	0.236263	0.113553	0.174908	0.113553	0.14423	-0.070513	0.174908	-0.009158	0.174908	0.205585	0.14423	0.205585	0.065685	0.205585	0.113553	0.297618	0.266941	0.113553	0.113553	0.205585	0.052197	0.174908	0.174908	0.113553	0.082875	0.236263	0.113553	0.119045	0.052197	0.113553	0.236263	-0.039836	0.174908	0.14423	0.14423	0.082875	0.174908	0.14423	0.113553	0.14423	0.02152	0.14423	-0.021283	0.297618	0.297618	0.14423	0.14423	0.14423	-0.039836	0.052197	0.174908													
SCOC_TP3_58	-0.009158	0.052197	0.082875	0.09116	0.02152	0.021611	0.052197	-0.070513	0.052197	-0.070513	0.02152	-0.009158	0.14423	0.02152	0.02152	0.02152	-0.039836	-0.009158	0.02152	0.02152	0.052197	-0.009158	0.113553	0.052197	0.082875	0.014259	-0.039836	0.02152	0.174908	0.02152	0.052197	0.082875	0.052197	-0.009158	0.052197	-0.039836	-0.039836	-0.009158	0.082875	0.02152	0.015871	0.174908	0.052197	0.02152	0.02152	-0.009158	0.052197	0.02152	0.113553	-0.070513	0.02152	0.113553	-0.131869	-0.009158	-0.131869	-0.021283	0.052197	-0.039836	-0.039836	-0.009158	0.052197	0.052197	-0.131869	0.052197	0.14423												
SCOC_TP3_60	0.188509	0.131134	-0.012306	0.112549	0.04507	0.209268	0.159821	0.102446	0.188509	0.073758	0.159821	0.131134	0.217197	0.245885	0.245885	0.188509	0.159821	0.131134	0.073758	0.102446	0.073758	0.073758	0.131134	0.131134	0.188509	0.144973	0.073758	0.02152	0.245885	0.131134	0.04507	0.131134	0.188509	0.04507	0.131134	0.073758	0.102446	0.102446	0.188509	0.159821	0.010564	0.217197	0.082875	0.073758	0.102446	0.159821	0.113553	0.073758	0.052197	-0.012306	0.217197	0.073758	0.016382	0.102446	0.073758	-0.108323	0.102446	-0.012306	0.016382	0.073758	0.073758	0.073758	0.016382	0.188509	0.205585	-0.070513											
SCOC_TP3_61	0.174908	0.174908	0.14423	0.195482	0.082875	0.26503	0.14423	0.14423	0.052197	0.052197	0.02152	0.113553	0.082875	0.14423	0.205585	0.113553	0.205585	0.082875	0.082875	0.14423	0.205585	0.082875	0.266941	0.052197	0.14423	0.168537	0.082875	0.082875	0.205585	-0.039836	0.02152	0.174908	0.082875	0.174908	-0.101191	-0.070513	0.174908	0.14423	-0.009158	0.113553	-0.052912	0.236263	0.236263	-0.009158	0.14423	-0.009158	0.113553	0.174908	0.266941	0.082875	0.174908	0.113553	-0.009158	0.113553	0.113553	0.065756	0.052197	0.052197	-0.009158	-0.009158	0.113553	0.052197	0.14423	-0.009158	0.297618	0.052197	-0.070513										
SCOC_TP3_62	-0.09837	0.04507	0.073758	0.015831	-0.040994	0.144789	0.131134	-0.040994	0.102446	-0.069682	0.159821	0.102446	-0.040994	0.159821	0.131134	0.131134	-0.040994	0.131134	-0.09837	0.04507	-0.012306	-0.012306	0.131134	-0.012306	0.217197	0.006765	0.102446	-0.009158	0.159821	0.102446	-0.040994	0.131134	0.245885	0.102446	0.073758	-0.012306	0.04507	0.016382	0.131134	0.073758	0.042474	0.073758	0.14423	0.131134	-0.012306	0.073758	0.02152	0.04507	-0.039836	0.073758	0.159821	0.04507	0.016382	0.073758	0.016382	-0.195362	0.217197	0.217197	-0.040994	0.188509	0.04507	0.188509	-0.012306	0.159821	-0.039836	0.052197	0.073758	0.082875									
SCOC_TP3_63	0.04507	0.073758	0.102446	0.112549	-0.012306	0.112549	0.102446	0.04507	0.04507	0.04507	0.188509	0.073758	0.159821	0.188509	0.073758	0.102446	0.04507	0.131134	0.016382	0.102446	0.016382	0.131134	0.04507	0.073758	0.131134	0.283182	0.159821	0.052197	0.131134	0.217197	0.04507	0.131134	0.102446	0.102446	0.159821	0.073758	0.131134	0.102446	0.131134	0.102446	0.106294	0.159821	0.052197	0.188509	-0.040994	0.102446	0.082875	-0.012306	-0.070513	0.102446	0.274573	0.159821	0.102446	-0.012306	0.04507	0.065756	0.217197	0.159821	0.102446	0.102446	0.131134	0.04507	0.073758	0.131134	0.02152	0.113553	0.131134	0.14423	-0.012306								
SCOC_TP3_64	0.159821	0.102446	0.159821	0.209268	0.04507	-0.048648	0.188509	0.073758	0.04507	0.073758	0.016382	0.073758	0.245885	0.102446	0.102446	0.102446	0.016382	0.245885	-0.012306	0.04507	0.04507	0.188509	0.131134	0.016382	0.04507	0.191043	0.102446	-0.009158	0.159821	0.188509	-0.012306	0.217197	-0.012306	-0.012306	0.016382	0.04507	0.245885	0.131134	0.159821	0.04507	-0.053257	0.04507	0.113553	0.04507	0.131134	0.131134	0.205585	0.102446	0.236263	0.102446	0.073758	0.131134	0.016382	0.102446	0.159821	0.022237	0.102446	0.159821	0.102446	0.04507	0.159821	-0.012306	0.073758	0.131134	0.113553	0.02152	0.131134	-0.009158	0.131134	0.131134							
SCOC_TP3_65	0.016382	0.04507	0.102446	0.241507	-0.012306	0.209268	0.159821	0.04507	0.073758	-0.012306	0.159821	0.073758	-0.012306	0.188509	0.188509	0.102446	0.131134	0.131134	0.102446	0.102446	0.131134	0.131134	0.073758	0.102446	0.131134	0.144973	0.102446	-0.039836	0.131134	0.102446	-0.040994	0.04507	0.131134	0.102446	-0.069682	0.04507	0.131134	0.131134	0.04507	0.102446	-0.053257	0.131134	0.113553	0.073758	0.217197	0.016382	0.02152	0.159821	-0.039836	0.131134	0.245885	0.073758	0.102446	0.04507	-0.040994	0.065756	0.217197	0.217197	0.131134	0.131134	0.073758	0.159821	0.073758	0.073758	0.082875	0.052197	0.217197	-0.009158	-0.012306	0.073758	0.159821						
SCOC_TP3_66	0.102446	0.131134	0.016382	0.08031	-0.012306	0.04807	0.102446	0.102446	0.04507	-0.069682	-0.040994	0.188509	-0.069682	0.159821	0.073758	0.188509	0.04507	0.131134	-0.012306	0.073758	0.102446	0.131134	0.131134	-0.012306	0.188509	0.144973	0.073758	0.082875	0.131134	0.131134	-0.069682	0.102446	0.131134	0.016382	0.04507	0.073758	0.159821	0.131134	0.04507	0.016382	-0.148988	0.102446	0.113553	0.016382	0.016382	0.131134	0.113553	0.159821	-0.009158	0.016382	0.102446	-0.012306	0.073758	0.073758	0.016382	-0.021283	0.04507	0.188509	0.016382	0.159821	0.159821	0.016382	0.016382	0.188509	0.052197	0.02152	0.04507	-0.039836	-0.09837	0.073758	-0.069682	-0.012306					
SCOC_TP3_67	0.04507	-0.012306	0.04507	0.04807	0.016382	0.112549	-0.127058	-0.069682	-0.012306	0.073758	0.131134	0.102446	0.131134	0.102446	0.102446	0.188509	-0.040994	0.073758	0.016382	0.217197	0.102446	0.073758	0.131134	0.131134	-0.069682	-0.039305	0.131134	-0.101191	0.188509	0.188509	0.04507	0.131134	0.159821	0.102446	0.131134	-0.012306	0.131134	0.04507	0.102446	0.04507	-0.021347	0.159821	-0.131869	0.04507	0.073758	0.04507	0.02152	0.131134	-0.162546	0.073758	0.188509	0.102446	0.073758	0.073758	0.073758	-0.021283	0.102446	0.102446	0.04507	0.159821	-0.012306	-0.040994	0.016382	0.073758	0.02152	0.052197	0.131134	0.082875	0.016382	-0.012306	0.217197	0.102446	0.073758				
SCOC_TP3_68	0.04507	-0.012306	0.217197	0.209268	0.102446	0.241507	0.188509	0.016382	0.04507	0.073758	0.159821	0.131134	0.217197	0.131134	0.245885	0.188509	0.04507	0.04507	0.102446	0.188509	0.188509	0.102446	0.073758	0.102446	0.073758	0.191043	0.131134	0.052197	0.159821	0.04507	0.159821	0.159821	0.04507	0.131134	0.073758	0.102446	0.217197	0.217197	0.245885	0.159821	0.106294	0.245885	0.082875	0.073758	0.131134	0.073758	0.052197	0.131134	0.174908	0.188509	0.217197	0.188509	0.102446	-0.040994	0.131134	-0.021283	0.159821	0.016382	-0.069682	0.102446	-0.012306	0.159821	0.073758	0.159821	0.236263	0.02152	0.131134	0.02152	0.188509	0.188509	0.073758	0.159821	0.159821	0.073758			
SCOC_TP3_70	0.245885	0.131134	0.131134	0.370465	0.04507	-0.048648	0.188509	0.159821	0.102446	0.159821	0.04507	0.159821	0.188509	0.131134	0.04507	0.159821	0.217197	0.159821	0.016382	0.188509	0.131134	0.303261	0.303261	-0.012306	0.188509	0.237112	0.188509	0.02152	0.188509	0.217197	0.131134	0.274573	0.131134	0.04507	0.131134	0.159821	0.245885	0.303261	0.159821	-0.069682	0.010564	0.131134	0.052197	0.274573	0.04507	0.188509	0.174908	0.04507	0.205585	0.245885	0.245885	0.274573	0.303261	0.303261	0.159821	0.109276	0.245885	0.303261	0.188509	0.159821	0.303261	0.188509	0.159821	0.131134	0.14423	0.205585	0.274573	0.236263	0.131134	0.159821	0.073758	0.159821	0.016382	0.131134	0.303261		
SCOC_TP3_71	0.102446	0.073758	0.102446	0.209268	0.016382	0.241507	0.188509	0.131134	0.131134	0.159821	0.217197	-0.012306	0.274573	0.131134	0.217197	0.159821	0.159821	0.217197	0.04507	0.131134	0.102446	0.131134	0.102446	0.188509	0.188509	0.191043	0.217197	0.14423	0.188509	0.245885	0.016382	0.245885	0.131134	0.188509	0.073758	0.04507	0.274573	0.274573	0.102446	0.04507	0.074384	0.131134	0.205585	0.188509	0.245885	0.159821	0.14423	0.04507	0.236263	0.159821	0.217197	0.303261	0.102446	0.04507	0.102446	0.065756	0.102446	0.188509	0.159821	0.245885	0.217197	0.102446	0.188509	0.131134	0.236263	0.052197	0.274573	0.174908	0.131134	0.188509	0.131134	0.217197	0.274573	0.188509	0.217197	0.303261	
